aX,aY,aZ,gX,gY,gZ
0.062,-1.021,0.157,-10.193,0.549,-7.751
0.086,-0.965,0.166,-10.742,-0.732,-8.362
0.097,-0.954,0.161,-12.451,5.188,-1.526
0.069,-1.02,0.188,-11.658,1.099,-5.554
0.06,-1.008,0.161,-9.827,0.854,-1.465
0.048,-0.971,0.139,-10.803,2.991,-1.709
0.029,-0.997,0.2,-11.536,3.235,-2.258
0.051,-1.024,0.194,-14.16,4.211,-3.662
0.064,-1.006,0.17,-12.817,3.479,-4.272
0.06,-0.983,0.168,-12.817,3.113,-2.319
0.05,-0.976,0.147,-14.282,-8.545,-5.859
0.041,-0.992,0.171,-13.489,-4.639,-7.385
0.086,-0.988,0.171,-12.146,-10.864,-7.568
0.076,-1.002,0.176,-13.916,-8.423,-4.944
0.071,-1.018,0.198,-12.512,-7.202,-3.479
0.068,-0.995,0.192,-16.174,-3.906,-3.174
0.04,-0.976,0.156,-15.015,-8.789,-7.507
0.029,-0.979,0.146,-12.146,-11.414,-10.803
0.082,-1.001,0.171,-9.644,-7.324,-10.681
0.103,-0.998,0.188,-9.705,2.747,-1.16
0.042,-0.976,0.188,-14.16,1.221,2.869
0.006,-0.948,0.135,-14.832,-0.488,-0.916
0.062,-1.005,0.175,-13.916,-2.808,-0.244
0.035,-0.983,0.173,-13.062,-2.93,-1.404
0.029,-0.975,0.169,-16.907,-5.493,-2.747
0.04,-0.99,0.194,-15.503,0.244,-2.747
0.058,-0.998,0.164,-17.09,-7.996,-5.798
0.03,-1.011,0.148,-20.813,-10.132,-7.385
0.068,-0.99,0.106,-23.071,-8.24,-4.944
0.054,-1.01,0.121,-16.541,-3.662,-1.404
0.036,-0.994,0.116,-18.005,-9.46,-3.479
0.08,-0.979,0.11,-17.212,2.502,-1.709
0.055,-0.986,0.07,-15.381,4.395,4.15
0.035,-0.992,0.073,-16.602,-1.709,5.676
0.018,-0.982,0.122,-10.62,-5.493,0.0
0.042,-0.944,0.064,-13.184,0.549,-6.042
0.063,-1.029,0.072,-18.677,-0.854,-7.446
0.006,-0.995,0.087,-12.329,-2.93,3.296
0.03,-1.024,0.139,-8.179,-4.395,3.723
-0.043,-0.971,0.09,-18.494,-3.723,3.662
0.036,-0.999,0.071,-15.747,-9.094,-1.831
-0.023,-1.001,0.096,-10.315,-1.77,9.094
-0.035,-0.984,0.091,-13.245,-3.906,5.554
-0.064,-0.982,0.072,-16.235,-2.991,10.864
-0.055,-1.024,0.064,-13.245,-7.141,-2.258
-0.05,-1.032,0.056,-2.747,-10.01,-3.357
-0.108,-0.987,0.098,-9.766,-3.967,-0.549
-0.058,-0.974,0.078,-6.226,-5.066,-7.202
-0.047,-1.034,0.115,-15.625,-5.676,-12.39
-0.088,-1.019,0.069,-12.573,2.319,-4.272
