aX,aY,aZ,gX,gY,gZ
-0.124,-0.924,0.262,-11.963,16.541,13.611
-0.175,-0.953,0.281,-13.367,6.348,7.935
-0.194,-0.978,0.292,-15.564,1.465,4.883
-0.23,-0.99,0.299,-19.47,-2.625,3.052
-0.247,-1.001,0.31,-21.667,0.061,1.099
-0.249,-0.969,0.301,-25.94,5.92,0.366
-0.205,-0.909,0.27,-26.184,6.775,1.831
-0.155,-0.87,0.242,-18.372,-3.235,-2.441
-0.181,-0.944,0.261,-16.907,-13.367,-12.024
-0.209,-0.994,0.298,-15.93,-17.639,-19.348
-0.203,-1.006,0.293,-16.357,-12.146,-16.235
-0.186,-0.967,0.296,-18.921,-6.104,-8.484
-0.184,-0.984,0.279,-16.296,-1.343,-0.122
-0.154,-0.902,0.251,-19.287,-0.977,4.333
-0.158,-0.874,0.238,-17.944,-4.761,3.662
-0.198,-0.878,0.223,-17.273,-12.695,-2.014
-0.246,-0.887,0.237,-12.329,-14.16,-4.333
-0.238,-0.911,0.245,-9.155,-6.775,-3.601
-0.237,-0.961,0.273,-7.629,-2.136,-2.319
-0.212,-0.987,0.261,-7.568,5.127,2.869
-0.183,-0.986,0.27,-10.01,5.981,5.188
-0.178,-0.954,0.251,-17.151,1.038,4.944
-0.163,-0.943,0.241,-20.874,-6.653,1.648
-0.212,-0.92,0.25,-20.203,-14.648,-3.906
-0.24,-0.91,0.269,-15.076,-14.709,-3.601
-0.22,-0.948,0.262,-5.432,-7.751,2.625
-0.225,-0.982,0.269,-3.235,-4.822,7.812
-0.203,-0.979,0.243,-3.723,-6.348,9.033
-0.192,-0.993,0.255,-7.69,-10.071,1.892
-0.22,-0.979,0.277,-13.306,-15.808,-5.066

-0.111,-0.989,0.224,-7.935,-4.578,-0.916
-0.1,-1.0,0.209,-9.094,-4.883,-1.526
-0.114,-1.01,0.217,-11.658,-6.409,-2.319
-0.115,-0.984,0.226,-12.329,-5.371,-2.258
-0.111,-0.962,0.204,-10.498,-4.517,-1.831
-0.12,-0.956,0.209,-8.728,-4.944,-1.892
-0.098,-0.957,0.208,-6.592,-5.92,-0.122
-0.108,-0.963,0.207,-4.7,-8.423,1.831
-0.124,-0.962,0.216,-5.981,-10.376,-0.488
-0.154,-0.975,0.249,-5.676,-8.301,-1.099
-0.144,-0.967,0.263,-6.165,-5.005,-1.038
-0.126,-0.972,0.237,-3.967,-2.075,-0.977
-0.119,-0.988,0.235,-5.615,-4.517,-3.174
-0.119,-0.975,0.236,-7.629,-10.742,-2.625
-0.128,-0.967,0.243,-8.911,-12.573,-2.136
-0.12,-0.974,0.257,-8.972,-12.329,-4.272
-0.123,-0.974,0.265,-9.949,-10.193,-4.944
-0.121,-0.983,0.276,-9.399,-9.399,-2.808
-0.118,-0.948,0.272,-6.104,-6.348,0.916
-0.11,-0.974,0.273,-6.47,-7.568,-0.488
-0.116,-0.951,0.295,-10.559,-5.737,1.404
-0.146,-0.987,0.23,-9.949,-9.338,-6.653
-0.096,-0.958,0.29,-10.925,-5.371,-2.014
-0.124,-0.977,0.244,-9.277,-9.399,-6.897
-0.151,-0.988,0.302,-11.536,-6.47,-7.385
-0.136,-0.977,0.245,-10.071,3.296,-1.892
-0.145,-0.948,0.276,-12.268,-2.93,-2.625
-0.106,-0.932,0.227,-8.484,0.122,-3.296
-0.107,-0.958,0.262,-10.62,10.376,-2.808
-0.119,-0.969,0.264,-10.559,8.179,-3.967

0.081,-1.024,0.16,-11.78,19.958,4.456
0.084,-1.012,0.166,-7.141,3.906,-2.319
0.095,-1.004,0.179,-8.484,-3.601,-3.357
0.102,-1.012,0.172,-11.963,-11.475,0.977
0.124,-0.989,0.176,-13.794,-14.099,-0.549
0.126,-1.002,0.193,-11.169,-14.832,-1.648
0.1,-0.966,0.174,-8.484,-13.916,-6.104
0.082,-0.975,0.161,-9.277,-10.437,-7.446
0.077,-0.973,0.155,-10.315,-5.981,-6.775
0.069,-0.958,0.171,-11.841,0.671,-3.601
0.06,-0.946,0.207,-15.869,-4.15,0.183
0.115,-0.954,0.238,-17.456,-2.808,0.671
0.122,-0.96,0.249,-15.259,-2.747,-3.723
0.101,-0.969,0.221,-13.123,-4.028,-7.69
0.085,-0.975,0.166,-11.658,-0.61,-8.728
0.069,-0.989,0.165,-16.907,1.282,-3.113
0.083,-1.027,0.145,-19.775,4.456,0.122
0.084,-1.003,0.182,-17.7,13.916,-2.747
0.062,-1.007,0.205,-16.602,12.085,-3.906
0.098,-1.013,0.197,-20.569,1.831,8.911
0.086,-1.014,0.157,-16.724,1.465,0.427
0.059,-1.005,0.173,-19.592,-4.883,0.793
0.097,-1.002,0.184,-19.47,-5.493,0.61
0.091,-1.026,0.195,-13.428,-5.737,-3.052
0.079,-0.991,0.19,-11.658,-3.723,-5.737
0.078,-0.964,0.176,-12.268,-1.038,-7.324
0.067,-0.964,0.192,-14.465,-4.15,-1.465
0.09,-0.966,0.17,-14.771,-6.958,-0.366
0.11,-1.007,0.155,-15.32,-11.719,0.183
0.111,-1.003,0.167,-9.216,-9.155,-3.174

0.022,-0.957,0.11,-14.587,-0.61,-9.216
0.039,-0.973,0.112,-15.076,-0.183,-7.69
0.019,-1.005,0.103,-14.832,1.282,-6.165
-0.027,-1.0,0.072,-14.099,-1.648,-6.958
-0.04,-0.935,0.105,-14.526,-4.395,-5.31
