aX,aY,aZ,gX,gY,gZ
0.99,-0.043,0.085,-7.751,-5.981,-3.662
1.0,-0.045,0.097,-8.789,-3.967,-3.052
1.01,-0.026,0.068,-9.46,-2.258,-1.831
0.994,-0.049,0.095,-6.775,-4.211,2.747
0.996,-0.058,0.087,-7.202,-4.944,2.014
1.003,-0.058,0.083,-6.897,-6.226,-4.211
1.006,-0.085,0.105,-6.287,-4.517,-2.93
0.98,-0.069,0.1,-5.188,-5.981,-0.854
0.997,-0.096,0.088,-6.47,-5.92,-0.061
0.999,-0.064,0.099,-11.292,-2.38,-5.066
1.002,-0.066,0.096,-12.939,1.038,-8.728
0.989,-0.084,0.087,-7.263,-3.601,-6.104
1.005,-0.049,0.123,-4.822,-6.714,-6.775
1.004,-0.063,0.12,-3.784,-7.019,-4.272
0.99,-0.075,0.113,-5.188,-6.897,-3.052
0.981,-0.056,0.115,-11.78,-5.31,-5.432
0.994,-0.05,0.125,-10.071,-5.554,-4.456
1.006,-0.043,0.125,-11.658,-6.714,-4.395
0.998,-0.06,0.106,-9.155,-7.629,-2.258
0.998,-0.042,0.099,-10.01,-2.502,-0.916
0.991,-0.063,0.112,-11.719,-3.357,-3.54
1.008,-0.05,0.115,-10.864,-1.099,-2.991
1.009,-0.047,0.119,-14.893,2.93,-2.38
0.982,-0.071,0.135,-19.287,8.545,-10.559
0.974,-0.073,0.168,-19.897,4.395,-10.986
0.986,-0.036,0.195,-9.888,-9.766,-4.333
1.001,-0.04,0.152,-11.169,-13.062,-4.578
0.967,-0.04,0.145,-11.047,-5.31,-3.357
0.977,-0.05,0.135,-10.864,-8.301,-2.258
0.983,-0.049,0.119,-12.268,-2.563,-4.639
1.009,-0.024,0.136,-8.484,-8.911,-6.958
1.0,-0.041,0.156,-8.484,-6.836,-3.418
0.976,-0.035,0.115,-3.662,-14.221,-8.545
1.025,-0.0,0.104,-3.784,-11.475,-14.526
0.984,-0.016,0.09,-7.812,-3.174,-7.385
1.007,0.035,0.105,-6.897,-4.333,-11.597
1.02,0.048,0.111,-6.531,-6.531,-10.132
0.975,0.042,0.086,-11.353,-9.705,-7.324
0.982,-0.003,0.073,-11.414,-6.042,-3.235
1.022,0.047,0.069,-13.367,-8.911,-5.615
0.979,0.013,0.05,-16.113,-6.897,-1.526
1.003,0.065,0.079,-30.151,-7.141,-10.437
0.982,0.067,0.083,-18.494,-8.911,-4.883
0.981,0.019,0.062,-9.46,-4.7,0.427
1.0,0.018,0.085,-4.944,-3.784,-0.122
1.007,0.016,0.082,-10.132,-2.502,1.343
0.995,-0.01,0.082,-11.475,-7.08,-2.38
0.999,-0.02,0.087,-7.568,-3.479,-2.258
1.021,-0.002,0.072,-11.78,-3.967,-2.563
1.023,0.022,0.072,-9.705,-4.944,-4.089
