aX,aY,aZ,gX,gY,gZ
0.892,-0.021,0.476,-2.197,-2.319,0.366
0.873,-0.03,0.462,-2.93,-5.066,2.38
0.888,-0.042,0.442,-8.484,-9.399,2.686
0.909,-0.033,0.466,-11.108,-7.507,1.282
0.905,-0.036,0.498,-8.911,-6.714,1.77
0.907,-0.04,0.505,-6.165,-4.822,1.77
0.894,-0.03,0.491,-5.249,-5.859,0.427
0.872,-0.043,0.482,-5.371,-8.057,2.258
0.891,-0.064,0.447,-5.92,-6.348,2.563
0.89,-0.048,0.444,-7.568,-5.676,3.174
0.895,-0.046,0.456,-9.827,-5.066,3.784
0.89,-0.032,0.49,-12.146,-6.592,5.615
0.92,-0.049,0.497,-10.193,-5.493,5.798
0.911,-0.057,0.494,-9.521,-6.165,5.981
0.92,-0.066,0.49,-7.385,-4.15,3.113
0.906,-0.06,0.464,-8.789,-4.944,3.418
0.888,-0.064,0.46,-9.888,-5.981,3.296
0.888,-0.045,0.483,-11.719,-9.705,5.371
0.902,-0.053,0.496,-13.0,-11.414,5.31
0.916,-0.052,0.488,-11.902,-10.193,4.395
0.9,-0.044,0.476,-7.263,-8.179,3.906
0.905,-0.043,0.471,-7.996,-6.348,2.136
0.896,-0.053,0.45,-11.841,-10.01,2.563
0.888,-0.071,0.5,-12.878,-12.573,3.296
0.888,-0.051,0.529,-11.475,-13.916,4.211
0.938,-0.055,0.531,-7.629,-10.254,3.296
0.93,-0.058,0.476,-6.165,-7.385,-1.16
0.894,-0.045,0.473,-5.798,-7.202,-2.136
0.871,-0.048,0.453,-7.996,-11.658,2.869
0.887,-0.036,0.49,-9.277,-12.512,4.761

0.959,-0.057,0.373,-0.366,-2.563,2.075
0.932,-0.039,0.371,-0.305,-1.77,2.014
0.951,-0.061,0.365,-1.709,-2.136,3.601
0.951,-0.066,0.362,-4.333,-2.258,2.38
0.938,-0.056,0.39,-6.348,-5.981,3.052
0.936,-0.061,0.41,-5.188,-7.08,3.418
0.938,-0.056,0.42,-2.075,-5.005,1.404
0.921,-0.044,0.422,1.587,-1.587,-0.305
0.898,-0.065,0.36,2.808,-0.671,-0.977
0.881,-0.068,0.35,1.282,-2.869,2.197
0.904,-0.085,0.358,-0.854,-5.31,5.798
0.918,-0.086,0.403,-2.625,-6.287,6.775
0.951,-0.092,0.406,-1.709,-5.798,6.348
0.936,-0.098,0.393,-0.366,-3.601,4.578
0.935,-0.084,0.377,0.671,-3.418,3.052
0.941,-0.099,0.373,0.061,-4.395,3.174
0.967,-0.11,0.384,-0.732,-4.395,3.235
0.977,-0.105,0.39,-0.793,-4.822,1.77
0.938,-0.085,0.428,-2.38,-6.531,0.0
0.926,-0.099,0.402,-1.038,-7.202,0.0
0.968,-0.096,0.376,1.465,-3.967,-1.282
0.943,-0.099,0.361,2.197,-1.648,-1.892
0.941,-0.109,0.351,2.014,-1.587,-3.235
0.934,-0.083,0.348,-0.061,-3.662,-3.479
0.934,-0.085,0.375,-1.648,-2.991,-3.723
0.896,-0.073,0.39,-0.488,0.244,-4.272
0.917,-0.05,0.348,1.77,1.892,-3.174
0.907,-0.074,0.315,2.991,4.639,-3.113
0.923,-0.081,0.341,2.808,4.7,-1.099
0.945,-0.09,0.322,-0.305,1.099,-0.732

0.006,0.018,1.06,-18.25,-2.686,7.507
-0.019,0.03,1.063,-18.494,-5.432,6.531
-0.023,0.034,1.075,-16.968,-5.066,6.653
-0.025,0.008,1.057,-15.442,-4.944,6.226
-0.017,0.022,1.028,-16.235,-4.517,5.859
-0.026,0.018,1.031,-17.395,-3.113,4.822
-0.008,0.022,1.024,-17.883,-2.747,4.761
-0.014,0.012,1.035,-19.226,-4.272,3.479
-0.01,0.004,1.041,-19.47,-5.249,2.502
-0.012,0.004,1.052,-18.311,-3.967,2.441
-0.013,0.029,1.028,-17.944,-3.601,1.77
-0.017,-0.001,1.036,-17.151,-2.319,1.892
-0.004,0.017,1.023,-16.663,-1.16,0.671
0.008,0.004,1.033,-17.029,-1.282,0.244
-0.044,0.019,1.045,-17.151,-3.418,-0.183
