aX,aY,aZ,gX,gY,gZ
-0.99,0.046,0.04,-8.911,-9.216,-3.479
-1.02,0.053,0.085,-9.766,-9.583,-8.423
-1.0,0.052,0.074,-9.766,-3.113,-7.935
-1.008,0.018,0.04,-8.728,-1.526,-3.906
-0.999,0.003,0.045,-7.935,-4.089,-1.648
-0.948,0.069,0.047,-9.521,-7.202,-3.479
-0.986,0.054,0.055,-7.324,-7.263,-4.517
-1.007,0.042,0.063,-11.475,-8.728,-6.653
-0.992,0.012,0.074,-9.338,-9.46,-1.648
-1.008,-0.007,0.065,-7.935,-7.568,-4.211
-0.984,0.043,0.091,-7.568,-5.005,-5.554
-1.036,0.047,0.141,-12.451,-8.118,-8.301
-1.013,0.03,0.104,-7.568,-5.737,-9.583
-1.002,0.026,0.113,-7.507,-7.568,-7.996
-1.022,-0.015,0.096,-8.606,-4.883,-9.277
-0.994,-0.033,0.082,-5.981,-6.653,-9.399
-0.991,-0.022,0.091,-6.897,-6.653,-6.653
-0.965,0.031,0.072,-10.742,-6.104,-3.479
-0.986,-0.031,0.071,-8.789,-9.583,-2.991
-1.008,-0.021,0.111,-11.047,-8.972,-4.333
-0.998,-0.016,0.117,-9.033,-5.554,-5.432
-0.988,-0.013,0.117,-6.958,-5.371,-6.47
-1.016,-0.026,0.123,-7.996,-5.981,-5.249
-0.969,-0.007,0.105,-12.268,-7.08,-4.517
-0.992,-0.005,0.138,-14.343,-6.226,-13.611
-1.007,-0.051,0.145,-13.489,-8.057,-11.108
-1.004,-0.07,0.143,-8.728,-7.446,-8.24
-0.988,-0.015,0.152,-7.996,-7.385,-8.484
-0.981,-0.054,0.146,-9.46,-9.094,-6.165
-0.976,-0.06,0.153,-9.521,-8.24,-2.014
-0.965,-0.046,0.152,-11.658,-8.911,-5.615
-0.979,-0.056,0.172,-10.132,-8.972,-5.249
-0.975,-0.066,0.177,-9.277,-7.202,-4.333
-0.97,-0.034,0.172,-8.85,-7.202,-4.639
-0.973,-0.085,0.161,-13.428,-6.897,-6.409
-1.01,-0.03,0.19,-13.611,-5.066,-4.944
-0.985,-0.054,0.173,-8.728,-5.005,-3.662
-0.973,-0.06,0.175,-10.62,-12.634,6.47
-1.01,-0.039,0.227,-10.864,-5.31,-3.906
-0.993,-0.045,0.196,-8.545,-4.944,-3.357
-0.991,-0.019,0.195,-9.033,-5.798,-5.066
-0.988,-0.025,0.178,-6.836,-5.005,-4.822
-0.998,-0.041,0.202,-8.85,-4.456,0.793
-0.997,-0.016,0.209,-9.888,-1.526,0.366
-1.009,-0.002,0.185,-11.047,-1.77,-3.601
-0.979,-0.005,0.176,-11.475,-3.296,-3.052
-1.001,0.016,0.192,-15.747,-2.625,-3.174
-0.988,-0.015,0.167,-21.606,-1.709,-6.348
-1.009,0.003,0.173,-21.118,-0.488,-2.441
-1.011,-0.004,0.171,-15.076,-2.197,-0.671
