aX,aY,aZ,gX,gY,gZ
-0.913,0.06,0.154,-0.61,-7.629,-12.573
-0.96,0.063,0.183,-2.808,-8.24,-16.235
-0.996,0.054,0.222,-5.371,-4.822,-18.433
-1.034,0.054,0.257,-3.906,-5.981,-16.785
-1.036,0.044,0.229,1.526,-5.798,-11.658
-1.009,0.04,0.218,2.075,-5.188,-8.057
-0.965,0.062,0.238,0.488,-5.92,-4.883
-0.952,0.061,0.191,2.747,-7.935,-6.775
-0.974,0.052,0.194,0.488,-7.935,-9.46
-0.989,0.046,0.206,0.732,-7.324,-9.155
-0.985,0.059,0.223,0.977,-5.188,-9.888
-0.985,0.057,0.215,3.052,-6.409,-9.338
-0.978,0.071,0.206,2.991,-7.385,-6.653
-0.949,0.062,0.229,2.38,-8.789,-7.935
-0.964,0.054,0.166,3.784,-10.071,-11.475
-0.977,0.024,0.169,-2.136,-7.507,-13.733
-1.024,0.051,0.206,-3.357,-6.348,-12.573
-1.011,0.052,0.287,-4.028,-6.47,-10.742
-1.037,0.062,0.268,4.089,-6.958,-8.484
-1.001,0.04,0.218,6.348,-9.705,-4.272
-0.953,0.048,0.186,3.906,-9.888,-2.502
-0.961,0.043,0.204,2.38,-10.193,-4.7
-1.017,0.038,0.202,2.563,-9.216,-7.751
-1.047,0.039,0.205,1.709,-9.827,-5.737
-1.01,0.065,0.212,2.136,-8.85,0.0
-0.978,0.083,0.24,2.808,-7.935,0.244
-0.952,0.076,0.209,4.822,-7.141,-0.916
-0.945,0.061,0.192,4.761,-5.554,-1.953
-0.969,0.069,0.204,2.075,-5.615,-4.089
-0.973,0.067,0.23,1.892,-5.798,-5.371

-0.966,0.041,0.246,-8.667,-8.24,-6.653
-1.007,0.052,0.242,-6.348,-7.751,-6.531
-0.982,0.06,0.233,-6.104,-7.996,-3.357
-0.962,0.058,0.211,-6.775,-8.24,-3.235
-0.969,0.064,0.221,-6.165,-7.263,-4.211
-0.958,0.069,0.234,-8.484,-6.836,-4.456
-0.951,0.064,0.284,-8.179,-8.606,-4.639
-0.961,0.057,0.231,-3.174,-10.498,-6.104
-0.954,0.057,0.227,-3.357,-9.338,-6.897
-0.961,0.046,0.242,-3.967,-9.46,-9.216
-1.003,0.047,0.239,-5.31,-10.376,-9.033
-1.024,0.043,0.217,-3.418,-9.094,-6.104
-0.989,0.053,0.236,-5.737,-9.766,-3.357
-0.941,0.043,0.239,-5.432,-10.925,-4.089
-0.962,0.047,0.22,-5.31,-10.315,-5.859
-0.956,0.057,0.218,-8.24,-7.202,-8.606
-0.985,0.056,0.252,-7.629,-7.019,-10.254
-1.019,0.052,0.267,-7.019,-7.935,-8.667
-1.02,0.077,0.24,-4.639,-8.972,-4.944
-0.939,0.065,0.23,-4.578,-10.376,-3.296
-0.944,0.07,0.253,-5.615,-6.592,-6.226
-0.966,0.059,0.254,-4.333,-6.958,-9.094
-0.985,0.062,0.252,-2.625,-8.423,-10.132
-1.037,0.063,0.206,-1.282,-10.62,-7.935
-1.011,0.069,0.221,-5.066,-10.376,-4.272
-0.999,0.076,0.264,-5.371,-8.118,-4.15
-0.993,0.082,0.245,-3.357,-7.568,-3.662
-0.954,0.082,0.284,-4.578,-7.507,-2.502
-0.956,0.081,0.281,-2.075,-7.507,-5.005
-0.98,0.085,0.259,-0.183,-9.216,-6.226

0.147,0.016,1.085,-17.029,-7.812,-10.559
0.152,0.024,1.056,-15.198,-7.446,-10.803
0.145,0.032,1.047,-14.038,-6.409,-12.268
0.149,0.023,1.046,-14.587,-7.812,-13.184
0.135,0.032,1.005,-12.512,-6.897,-13.733
0.106,0.012,1.003,-14.526,-6.287,-13.428
0.119,0.001,1.027,-19.714,-2.075,-10.681
0.131,0.021,1.077,-20.569,-0.732,-7.446
0.17,0.02,1.054,-17.395,-2.38,-8.057
0.164,0.027,1.079,-17.151,-5.615,-10.681
0.119,0.032,1.049,-12.695,-5.676,-13.611
0.123,0.031,1.035,-12.512,-3.662,-12.329
0.134,0.034,0.979,-10.681,-8.057,-11.169
0.135,0.021,0.963,-13.306,-7.935,-10.132
0.152,0.033,1.004,-19.531,-5.981,-8.789
0.154,0.026,1.044,-20.081,-2.625,-7.08
0.16,0.06,1.095,-17.822,-4.028,-9.46
0.154,0.056,1.07,-13.489,-4.761,-11.597
0.127,0.036,1.022,-12.268,-7.141,-14.893
0.107,0.038,1.027,-13.916,-4.456,-12.512
0.121,0.041,1.062,-15.625,-1.648,-8.24
0.111,0.037,1.073,-14.648,-2.808,-7.263
0.137,0.05,1.064,-12.146,-11.475,-0.305
0.206,0.07,1.043,-9.094,-12.024,-0.366
0.203,0.096,1.038,-8.423,-16.235,-9.338
0.158,0.073,0.997,-7.08,-12.268,-14.709
0.096,0.068,0.993,-10.315,-12.878,-16.113
0.121,0.066,0.993,-15.137,-3.723,-13.0
0.149,0.061,1.038,-15.442,0.854,-9.949
0.167,0.064,1.048,-13.855,-1.221,-10.559

0.19,0.025,1.056,-14.893,-6.531,-14.221
0.241,0.049,1.004,-10.62,-7.141,-14.038
0.24,0.045,0.948,-11.658,-9.888,-16.724
0.24,0.048,0.958,-18.188,-8.301,-17.761
0.242,0.033,1.022,-19.531,-9.766,-18.982
0.208,0.008,1.032,-19.226,-11.047,-16.663
0.249,0.01,1.062,-18.555,-7.202,-14.221
0.245,0.013,1.095,-16.479,-7.935,-15.198
0.233,0.032,1.095,-11.597,-8.24,-14.099
0.226,0.059,1.049,-9.094,-9.338,-15.259
0.236,0.046,1.011,-8.057,-9.338,-15.747
0.233,0.048,0.974,-9.155,-15.076,-15.503
0.22,0.046,1.005,-11.963,-11.169,-15.076
0.197,0.067,1.028,-12.817,-15.625,-12.329
0.244,0.055,0.999,-14.404,-8.667,-15.381
0.211,0.03,1.052,-14.343,-8.728,-14.404
0.21,0.038,1.024,-10.986,-10.376,-12.451
0.222,0.054,0.989,-13.611,-6.653,-10.376
0.253,0.062,1.009,-16.418,-4.944,-8.545
0.257,0.048,1.023,-15.076,-5.432,-8.545
0.262,0.04,1.036,-16.174,-2.258,-8.423
0.233,0.049,1.037,-15.442,-2.808,-9.888
0.249,0.063,1.011,-14.282,-3.54,-7.935
0.25,0.049,1.029,-15.381,-4.517,-10.315
0.219,0.065,1.001,-12.39,-7.996,-10.62
0.233,0.059,0.98,-13.489,-6.592,-8.789
0.227,0.07,0.99,-16.357,-7.935,-8.301
0.256,0.063,0.995,-18.738,-5.859,-7.385
0.268,0.061,1.022,-18.677,-5.981,-8.728
0.25,0.065,1.014,-18.066,-5.005,-8.362

0.94,0.052,-0.129,-19.043,-6.104,-1.648
0.978,0.064,-0.132,-14.404,-1.587,-0.488
0.989,0.056,-0.191,-14.343,-1.404,-0.671
0.972,0.036,-0.15,-21.545,-7.446,-5.493
0.946,0.017,-0.137,-18.921,-6.348,-4.211
0.963,0.029,-0.144,-17.883,-5.676,-3.235
0.948,0.035,-0.123,-15.991,-6.653,-2.991
0.992,0.034,-0.186,-15.869,-1.282,0.671
0.982,0.017,-0.144,-18.86,-2.747,-1.038
0.958,0.017,-0.164,-16.052,0.977,0.854
0.981,0.012,-0.159,-18.372,0.366,1.587
0.974,0.004,-0.159,-18.494,-2.38,-0.305
0.995,0.001,-0.135,-19.836,-3.601,-0.549
0.983,0.019,-0.126,-17.212,-5.188,-4.333
0.988,0.008,-0.151,-15.198,-3.601,-4.15
0.975,0.04,-0.185,-16.602,-4.578,-7.141
0.946,0.031,-0.185,-20.752,-5.981,-7.324
0.969,0.044,-0.099,-25.391,-6.897,-4.883
0.973,0.05,-0.087,-22.644,-7.568,-4.578
0.949,0.031,-0.109,-16.052,-10.62,-6.592
0.964,0.042,-0.137,-16.113,-13.489,-6.409
0.962,0.028,-0.137,-18.311,-8.85,-3.967
1.005,0.044,-0.124,-19.958,-8.545,-3.54
0.983,0.043,-0.137,-14.893,-8.362,-5.249
0.969,0.056,-0.18,-15.686,-7.202,-5.31
0.956,0.056,-0.17,-20.447,-7.446,-2.869
0.988,0.073,-0.164,-20.874,-8.118,-2.625
0.97,0.039,-0.186,-23.254,-6.958,-4.7
1.0,0.04,-0.146,-25.513,-5.859,-3.479
1.014,0.052,-0.147,-20.996,-4.822,-5.005

0.941,0.021,-0.128,-14.648,-8.179,-1.221
1.056,0.043,-0.135,-12.024,-3.418,2.686
1.028,0.027,-0.149,-12.695,-6.958,-3.906
0.962,0.034,-0.181,-13.733,-6.531,-3.296
1.016,0.011,-0.21,-15.625,-3.235,1.526
1.041,0.021,-0.156,-17.944,-7.263,-2.808
0.989,0.033,-0.149,-17.151,-7.263,-3.784
1.005,0.048,-0.171,-18.066,-4.883,-3.601
0.993,0.041,-0.156,-18.066,-6.897,-6.775
0.968,0.024,-0.164,-19.165,-7.019,-6.226
0.932,0.032,-0.156,-20.203,-9.277,-7.996
0.939,0.029,-0.167,-18.86,-5.249,-2.502
0.976,0.024,-0.145,-20.691,-4.15,-1.831
0.954,0.052,-0.123,-19.958,-5.493,-3.479
0.935,0.048,-0.13,-18.066,-4.7,-2.502
0.945,0.042,-0.151,-16.541,-6.653,-2.625
0.957,0.024,-0.207,-16.663,-5.737,0.366
1.02,0.031,-0.173,-23.621,-7.996,-2.563
0.971,0.015,-0.098,-22.827,-9.216,-4.15
0.978,0.024,-0.141,-19.592,-6.348,-1.465
1.003,0.024,-0.165,-21.484,-7.751,-3.906
0.983,0.026,-0.134,-23.682,-10.132,-5.249
0.945,0.023,-0.103,-18.066,-9.216,-3.662
0.934,0.028,-0.146,-13.977,-5.92,-0.122
1.05,0.024,-0.195,-14.343,-2.625,2.014
1.037,0.021,-0.205,-17.09,-4.761,-2.502
0.971,0.039,-0.158,-21.362,-8.24,-6.409
0.949,0.037,-0.151,-20.63,-6.226,-6.226
0.968,0.04,-0.177,-18.86,-3.235,-1.831
0.998,0.036,-0.17,-18.494,-1.953,-1.526

-0.079,0.089,-0.931,-16.296,-11.292,2.38
-0.066,0.081,-0.936,-14.099,-8.911,3.967
-0.03,0.068,-0.943,-12.451,-7.935,3.784
-0.052,0.09,-0.946,-13.916,-7.385,1.038
-0.059,0.094,-0.949,-14.404,-8.057,2.258
-0.073,0.107,-0.947,-13.489,-6.165,3.052
-0.103,0.09,-0.949,-15.503,-10.071,5.676
-0.109,0.094,-0.933,-15.808,-13.245,7.812
-0.066,0.077,-0.939,-14.709,-9.46,10.681
-0.033,0.074,-0.94,-14.343,-10.376,9.399
-0.037,0.05,-0.932,-13.611,-9.583,7.812
-0.05,0.062,-0.946,-13.0,-10.315,5.615
-0.065,0.073,-0.981,-10.01,-2.502,5.432
-0.061,0.072,-0.947,-13.733,-7.324,5.493
-0.067,0.078,-0.938,-15.32,-7.263,5.371
-0.057,0.07,-0.955,-13.367,-7.385,6.287
-0.035,0.091,-0.956,-14.954,-8.24,6.958
-0.031,0.082,-0.922,-15.625,-9.033,5.737
-0.044,0.09,-0.918,-13.0,-5.798,3.235
-0.041,0.091,-0.933,-10.62,-2.93,2.686
-0.09,0.099,-0.953,-11.169,-3.418,2.136
-0.111,0.093,-0.935,-12.207,-4.456,5.066
-0.065,0.097,-0.966,-16.113,-6.165,6.348
-0.046,0.092,-0.954,-17.395,-6.592,7.263
-0.032,0.089,-0.927,-16.357,-3.113,7.446
-0.017,0.083,-0.945,-13.306,-0.427,5.432
-0.063,0.103,-0.971,-14.221,-1.038,3.174
-0.092,0.104,-0.949,-16.113,-0.244,3.601
-0.058,0.12,-0.914,-18.494,-4.517,4.944
-0.031,0.107,-0.891,-19.165,-6.47,6.042

-0.123,0.057,-0.999,-15.747,-6.409,-0.732
-0.139,0.039,-0.949,-18.311,-7.08,1.221
-0.106,0.042,-0.955,-20.142,-7.507,2.075
-0.1,0.023,-0.912,-18.494,-6.836,1.77
-0.097,0.019,-0.932,-16.052,-5.432,-0.366
-0.104,0.026,-0.955,-14.648,-3.418,0.793
-0.109,0.038,-0.963,-17.578,-3.723,0.305
-0.124,0.057,-0.954,-19.287,-5.005,2.625
-0.102,0.055,-0.935,-20.02,-6.897,3.601
-0.093,0.054,-0.898,-16.846,-6.409,3.662
-0.102,0.039,-0.926,-13.916,-4.272,4.333
-0.105,0.041,-0.945,-12.451,-4.7,3.845
-0.107,0.049,-0.956,-12.634,-6.47,4.333
-0.106,0.07,-0.982,-14.893,-7.385,2.808
-0.101,0.058,-0.975,-17.944,-8.24,3.723
-0.104,0.06,-0.905,-19.409,-8.301,5.188
-0.11,0.058,-0.896,-17.029,-5.981,5.371
-0.109,0.064,-0.918,-11.169,-3.54,4.639
-0.129,0.058,-0.943,-10.315,-4.944,4.211
-0.139,0.066,-0.968,-12.39,-6.104,6.042
-0.127,0.059,-0.95,-13.245,-6.775,8.301
-0.103,0.055,-0.941,-13.184,-4.761,9.155
-0.115,0.04,-0.925,-14.16,-6.47,8.972
-0.115,0.03,-0.934,-11.536,-4.883,8.972
-0.139,0.038,-0.93,-11.414,-4.761,8.118
-0.109,0.03,-0.951,-11.353,-4.272,9.277
-0.103,0.05,-0.928,-13.611,-6.287,9.094
-0.093,0.028,-0.911,-10.376,-5.066,8.057
-0.112,0.028,-0.901,-10.315,-5.249,7.507
-0.099,0.056,-0.939,-6.714,-3.784,7.08
