aX,aY,aZ,gX,gY,gZ
3.621,1.052,-0.073,-28.931,7.385,483.765
7.288,3.501,-1.064,12.268,-23.438,157.776
6.173,2.913,-1.318,-18.005,51.27,-183.105
2.778,1.058,0.398,-4.761,13.55,-461.853
0.874,-0.177,1.065,42.725,-72.876,-516.235
-2.43,-1.953,0.509,68.359,-45.593,-486.45
-3.826,-2.577,0.941,25.024,-23.56,-380.737
-5.763,-3.508,0.659,26.489,7.08,-173.889
-6.215,-3.671,0.385,-1.099,21.851,8.667
-5.237,-3.044,1.307,-34.363,52.246,286.316
-3.427,-2.585,1.222,15.869,21.729,427.734
-1.28,-1.638,0.75,32.471,22.522,521.24
0.967,-0.362,0.631,6.836,62.439,532.043
4.526,1.91,-0.695,27.71,55.786,422.974
7.454,3.433,-2.16,9.766,44.006,221.863
5.948,2.767,-1.629,-60.059,74.951,-265.198
3.372,1.337,-0.019,-43.701,-6.348,-451.599
0.005,-0.752,1.06,30.579,-92.651,-538.147
-1.965,-1.786,0.996,38.33,-70.129,-498.901
-4.05,-2.575,1.265,47.974,-86.548,-340.271
-4.835,-3.137,0.692,36.743,-54.321,-220.337
-6.315,-3.565,0.555,-34.912,40.71,-34.546
-5.892,-3.152,1.336,-58.777,63.721,154.663
-3.392,-2.316,1.163,8.667,24.719,407.837
-1.084,-1.571,0.206,5.859,40.527,470.154
1.337,0.543,0.665,-75.684,141.296,414.612
3.348,2.081,0.147,-52.917,103.943,368.835
7.593,3.844,-1.914,9.583,-27.283,89.417
6.409,2.887,-1.738,-32.959,-14.526,-254.15
2.525,0.635,0.585,-25.574,-85.754,-523.682

3.075,2.378,-0.729,-10.559,29.785,171.57
4.314,2.709,-1.814,4.15,-48.523,-39.185
3.263,1.905,-1.317,-38.879,-60.791,-224.731
0.331,0.323,0.606,-67.993,-64.27,-380.066
-1.464,-0.585,1.492,-37.72,-76.477,-366.211
-3.132,-1.738,1.349,21.24,-86.365,-255.371
-4.017,-2.294,1.113,16.174,-50.415,-175.842
-4.794,-2.527,1.35,5.005,-3.662,-13.123
-4.542,-2.31,1.496,27.222,13.55,120.3
-2.199,-1.648,0.299,47.424,41.565,272.705
-0.705,-0.638,0.095,-19.958,88.501,260.62
0.841,1.022,0.155,-41.565,84.656,229.492
2.414,2.191,-0.33,-34.363,45.044,182.861
4.112,2.815,-1.627,-9.827,-17.883,-18.066
3.065,2.103,-1.122,-54.077,-28.198,-191.284
0.566,0.597,0.55,-40.955,-79.529,-314.209
-0.659,-0.364,1.019,-4.089,-110.107,-301.392
-2.326,-1.763,0.966,19.104,-94.543,-260.742
-3.549,-2.407,1.062,2.869,-63.904,-205.322
-4.476,-2.883,0.965,-26.428,-16.296,-52.917
-4.618,-2.676,1.335,-42.725,22.4,63.354
-3.359,-1.845,1.626,1.587,42.114,260.132
-1.739,-1.239,0.996,19.897,51.819,344.238
0.188,0.307,0.625,-34.424,106.689,311.584
1.418,1.612,0.725,-34.668,86.67,264.954
3.619,3.004,-0.682,12.634,19.409,152.039
5.131,3.338,-1.737,15.076,-31.433,-7.507
3.764,1.838,-1.076,-41.626,-68.97,-331.238
1.286,0.333,0.323,-37.048,-93.506,-440.735
-1.154,-1.173,1.176,29.663,-166.321,-371.033

1.638,0.535,0.132,-41.26,-99.243,-388.367
-0.985,-0.97,0.935,23.438,-144.165,-374.695
-2.308,-1.776,0.938,17.944,-115.601,-337.952
-4.427,-2.801,0.948,-5.432,-37.903,-244.812
-5.537,-3.124,1.035,-26.55,-1.587,-121.033
-5.448,-2.816,1.195,-34.485,35.522,117.798
-4.326,-2.328,1.27,-15.991,51.453,269.775
-1.342,-1.157,0.577,-26.367,89.844,386.169
-0.084,-0.11,0.68,-60.547,136.536,341.553
0.939,1.086,0.664,-79.468,166.321,260.681
1.998,2.07,0.672,-55.054,136.719,224.06
4.681,2.973,-1.044,33.508,-6.592,111.816
5.01,2.671,-1.769,20.691,-54.626,-86.06
