aX,aY,aZ,gX,gY,gZ
1.643,0.541,1.325,140.442,-24.475,54.199
1.613,0.489,1.048,154.968,-46.387,26.367
1.573,0.486,0.749,164.612,-68.909,0.732
1.515,0.455,0.462,167.908,-93.75,-31.189
1.427,0.413,0.056,171.936,-98.022,-60.791
1.303,0.411,-0.217,162.72,-121.399,-91.736
1.029,0.354,-0.656,145.325,-118.713,-112.488
0.833,0.373,-0.851,117.493,-120.85,-133.301
0.312,0.395,-1.261,98.206,-130.676,-153.381
-0.149,0.471,-1.457,65.308,-133.24,-155.823
-0.474,0.58,-1.513,5.31,-127.502,-141.235
-0.547,0.625,-1.469,-31.86,-127.625,-126.16
-0.298,0.668,-1.333,-81.909,-150.574,-97.046
-0.163,0.664,-1.19,-110.046,-156.616,-94.238
-0.414,0.675,-1.052,-144.043,-138.306,-105.896
-0.803,0.674,-0.883,-168.091,-96.313,-112.366
-1.263,0.67,-0.41,-190.063,-39.001,-87.708
-1.259,0.641,-0.311,-189.514,-30.396,-56.396
-1.169,0.517,-0.292,-196.716,-10.803,-29.114
-1.397,0.448,-0.083,-209.595,10.315,-16.785
-1.358,0.359,0.216,-232.239,10.132,17.273
-1.374,0.3,0.686,-251.16,13.55,35.095
-1.35,0.207,1.441,-246.033,8.301,68.604
-1.351,0.192,2.018,-229.858,55.237,89.966
-1.04,0.102,2.434,-177.734,106.384,120.361
-1.094,0.16,3.039,-154.358,161.011,134.583
-0.731,0.308,3.271,-84.473,152.588,170.532
-0.543,0.473,3.221,-38.696,113.464,195.19
-0.111,0.483,2.415,29.358,-13.611,223.999
0.261,0.574,2.088,49.255,-10.864,230.774

0.481,0.496,-0.92,15.259,-43.579,-146.057
0.239,0.459,-0.963,13.428,-69.214,-149.597
-0.054,0.364,-1.202,-5.31,-96.375,-142.09
-0.127,0.364,-1.179,-28.198,-102.783,-134.094
-0.454,0.391,-1.04,-62.805,-97.534,-125.916
-0.58,0.412,-0.971,-79.346,-86.426,-111.206
-0.901,0.419,-0.838,-98.572,-72.937,-94.666
-1.106,0.426,-0.75,-113.037,-66.467,-77.942
-1.181,0.45,-0.556,-147.4,-68.787,-44.739
-1.297,0.505,0.046,-173.523,-33.752,-26.611
-1.373,0.586,0.781,-165.71,-20.386,20.142
-1.267,0.623,0.842,-131.47,-39.978,58.594
-0.878,0.606,0.529,-97.717,-63.782,107.727
-0.693,0.609,0.556,-98.755,-37.354,120.728
-0.707,0.702,1.074,-110.229,61.584,125.183
-0.608,0.742,1.272,-97.778,115.051,130.066
-0.459,0.713,1.362,-81.299,132.385,139.832
-0.208,0.793,1.6,-71.472,104.492,158.569
0.26,0.838,1.641,-39.062,40.405,170.776
0.705,0.841,1.569,-23.193,11.902,172.424
1.179,0.837,1.564,-8.972,44.189,144.958
1.466,0.811,1.593,0.732,60.669,130.127
1.717,0.844,1.664,15.686,62.439,113.22
1.996,0.892,1.563,54.138,24.841,88.196
1.914,0.906,1.371,83.374,10.315,60.12
1.772,0.89,0.856,101.685,28.198,17.578
1.593,0.877,0.659,109.009,28.198,-2.197
1.355,0.845,0.45,114.99,17.639,-23.987
1.294,0.794,0.308,121.033,20.203,-32.715
1.398,0.738,0.03,126.953,28.015,-48.889

1.064,0.742,1.301,90.454,84.9,190.063
1.459,0.809,1.427,99.06,124.695,181.213
2.125,0.826,1.445,126.343,126.892,141.296
2.238,0.77,1.299,156.921,61.89,90.454
1.741,0.602,0.57,209.412,-74.768,28.809
1.422,0.531,0.232,217.529,-71.35,11.169
1.509,0.428,-0.373,231.445,-8.423,-4.333
1.378,0.288,-1.007,225.708,3.54,-17.212
1.852,0.316,-1.911,180.42,20.569,-33.02
1.732,0.318,-1.955,137.817,10.315,-59.265
1.381,0.442,-2.291,90.942,-72.632,-97.29
1.043,0.5,-2.353,51.697,-54.504,-116.272
0.799,0.568,-2.336,-3.662,-13.794,-130.127
0.672,0.57,-2.304,-43.884,1.77,-141.785
0.293,0.625,-1.756,-105.652,15.991,-156.189
0.236,0.632,-1.598,-121.216,6.348,-156.921
0.074,0.613,-1.418,-148.376,3.418,-162.842
-0.097,0.6,-1.208,-164.429,10.132,-163.757
-0.257,0.62,-0.844,-174.072,4.089,-160.889
-0.281,0.56,-0.814,-170.471,-21.545,-160.767
-0.717,0.545,-0.639,-174.316,-45.776,-163.025
-1.076,0.529,-0.443,-178.528,-43.213,-154.175
-1.306,0.502,-0.245,-177.917,-47.729,-119.08
-1.368,0.477,-0.038,-179.199,-39.368,-96.069
-1.584,0.408,0.155,-166.382,-56.091,-57.8
-1.628,0.401,0.485,-163.818,-60.791,-24.536
-1.565,0.4,0.938,-151.367,-49.316,18.433
-1.423,0.452,1.323,-137.695,-33.02,46.753
-1.25,0.526,1.767,-83.679,-34.18,80.078
-1.137,0.482,1.66,-33.203,-56.885,99.67

-1.586,0.6,-0.677,-141.724,16.846,-100.769
-1.855,0.545,-0.622,-149.902,16.418,-76.477
-1.602,0.518,-0.286,-156.189,-6.836,-22.156
-1.529,0.464,-0.053,-156.982,-34.241,-7.019
-1.494,0.385,0.282,-148.254,-80.811,13.794
-1.439,0.336,0.516,-134.033,-94.727,35.4
-1.251,0.312,0.561,-106.506,-96.436,69.031
-1.112,0.307,0.663,-93.933,-102.6,88.257
-0.833,0.278,0.865,-68.909,-118.896,114.685
-0.683,0.296,1.005,-47.119,-129.944,123.047
-0.464,0.284,1.107,-11.78,-134.399,136.719
-0.285,0.315,1.177,13.184,-129.211,144.897
0.006,0.389,1.119,52.002,-108.032,152.222
0.369,0.421,0.966,73.792,-77.759,165.344
1.203,0.575,0.748,91.37,-59.265,163.208
1.494,0.671,0.755,99.854,-60.852,130.127
1.519,0.768,0.63,117.676,-14.282,88.501
1.818,0.859,0.54,121.216,42.236,76.111
