aX,aY,aZ,gX,gY,gZ
0.01,0.993,0.098,-9.521,-4.639,-4.211
-0.034,0.993,0.101,-9.766,-0.366,-4.272
0.006,0.982,0.052,-9.033,-2.258,-4.333
-0.015,1.001,0.064,-11.169,-6.287,-5.066
-0.017,0.996,0.085,-13.428,-6.287,-6.165
-0.032,1.003,0.099,-13.245,-6.165,-3.479
-0.036,0.972,0.078,-9.46,-2.625,-8.789
-0.029,0.992,0.055,-10.071,-4.761,-7.629
-0.039,0.963,0.057,-10.254,-7.935,-5.737
-0.059,0.966,0.063,-15.991,-7.019,-3.906
-0.067,1.024,0.07,-17.517,-9.155,-3.113
-0.033,1.031,0.102,-20.996,-12.085,-0.061
-0.011,0.992,0.076,-14.771,-9.338,-1.465
-0.014,0.987,0.081,-8.911,-7.935,-6.47
-0.041,0.972,0.065,-10.376,-8.118,-6.653
-0.066,0.995,0.077,-9.46,-5.127,-4.883
-0.029,1.003,0.09,-11.414,-4.333,-5.432
-0.017,0.951,0.051,-9.766,-7.141,-4.822
-0.054,0.993,0.065,-11.475,-7.019,-3.784
-0.042,1.017,0.063,-10.803,-4.822,-3.601
-0.057,1.016,0.051,-11.292,-5.92,-5.676
-0.081,0.979,0.031,-7.263,-5.432,-6.775
-0.086,0.977,0.04,-11.902,-5.31,-4.7
-0.077,0.99,0.043,-14.282,-10.193,1.465
-0.073,0.981,0.048,-10.925,-9.033,-0.427
-0.05,0.998,0.022,-11.23,-5.371,-0.61
-0.043,1.017,0.042,-10.559,-3.479,-3.906
-0.016,0.941,0.012,-8.911,0.793,-7.507
-0.035,0.973,-0.004,-8.423,-1.953,-8.24
-0.061,0.984,0.008,-10.925,-1.465,-4.578
-0.053,1.006,-0.022,-8.057,-4.517,-3.906
-0.073,0.986,-0.011,-11.658,-2.747,-5.92
-0.068,0.967,-0.014,-12.085,-2.563,-2.502
-0.056,0.965,0.004,-15.381,-0.916,-3.601
-0.05,0.998,-0.006,-13.733,-1.221,-2.869
-0.05,1.0,0.005,-12.329,-2.014,-3.784
-0.038,1.0,-0.003,-10.132,-1.77,-2.258
-0.033,0.982,0.0,-11.597,-1.282,-3.296
-0.036,0.973,-0.014,-13.916,-3.418,-3.235
-0.047,1.021,-0.007,-10.742,-2.563,-4.211
-0.028,0.997,-0.037,-8.423,-3.418,-3.479
-0.045,0.968,-0.028,-11.78,-1.648,-5.676
-0.063,0.978,-0.007,-12.329,-1.404,-6.958
-0.097,0.962,-0.021,-12.451,-2.319,-3.54
-0.049,0.99,-0.039,-10.742,-1.343,-5.676
-0.075,1.002,-0.032,-9.827,-1.953,-5.005
-0.044,0.968,-0.044,-8.484,-1.831,-3.662
-0.059,0.974,-0.04,-12.451,-0.793,-5.371
-0.062,0.983,-0.063,-12.085,-2.747,-4.272
-0.091,0.977,-0.057,-15.137,-1.587,-5.005
