aX,aY,aZ,gX,gY,gZ
0.008,1.006,0.045,-11.597,-5.432,-2.197
0.05,0.998,0.033,-9.521,-9.277,0.671
0.069,1.008,0.04,-11.536,-6.409,-0.366
0.054,0.983,0.039,-11.658,-7.202,-1.831
0.04,0.986,0.03,-10.803,-4.456,-3.906
0.037,0.989,0.05,-10.864,-2.869,-3.601
0.034,0.981,0.031,-9.155,-5.005,-3.723
0.04,1.004,0.022,-10.193,-7.446,-3.174
0.047,0.99,-0.007,-11.719,-8.728,-3.906
0.042,0.988,0.007,-11.902,-8.362,-3.967
0.048,0.971,0.069,-13.245,-4.517,-4.211
0.031,0.989,0.02,-9.033,-1.221,-6.287
0.005,1.007,0.03,-10.559,2.991,-6.226
0.015,1.0,0.006,-10.01,-3.235,-4.395
0.014,0.975,0.011,-11.475,-2.38,-2.93
0.017,0.959,0.022,-10.742,-1.648,-3.845
0.031,0.974,0.016,-11.292,-0.427,-5.249
0.012,0.972,0.028,-12.024,-1.404,-2.625
0.025,0.997,0.029,-9.644,0.427,-5.615
0.017,0.995,0.027,-11.23,-1.343,-3.052
0.002,1.005,0.03,-10.681,-1.709,-2.991
0.004,0.994,0.032,-11.292,-2.808,-1.648
0.027,1.023,0.015,-11.78,-4.7,0.122
0.055,1.021,0.01,-11.353,-4.883,0.183
0.047,1.01,0.029,-11.78,-2.502,-1.587
0.037,1.032,0.024,-10.071,-1.16,-2.197
0.026,1.026,0.018,-9.155,-0.916,-2.625
0.029,1.015,0.01,-7.935,-3.479,-1.892
0.069,1.012,0.013,-7.385,-3.906,-0.854
0.063,1.021,-0.015,-8.179,-3.601,-1.709

0.079,0.992,0.012,-19.531,0.61,-6.958
0.072,1.01,0.035,-19.775,4.944,-6.775
0.073,1.012,0.045,-18.799,1.587,-5.31
0.061,1.008,0.021,-18.372,-1.038,-2.625
0.071,1.01,0.014,-18.982,-1.953,-0.916
0.108,1.002,0.021,-19.775,-2.014,0.061
0.115,1.025,0.062,-19.958,-2.319,-0.916
0.104,1.009,0.058,-16.174,-5.127,-2.38
0.12,1.014,0.058,-14.587,-6.042,-2.563
0.112,1.014,0.031,-13.062,-6.165,-4.822
0.108,1.017,0.034,-12.878,-6.531,-6.47
0.097,1.016,0.055,-14.038,-5.859,-6.47
0.104,1.014,0.073,-12.939,-5.066,-6.47
0.098,1.007,0.068,-13.55,-5.737,-7.141
0.107,1.007,0.087,-10.559,-5.31,-6.47
0.115,1.016,0.029,-10.01,-6.409,-9.155
0.101,1.019,0.074,-10.193,-3.784,-9.827
0.06,1.016,0.045,-8.301,-10.193,-10.498
0.065,1.02,0.032,-9.277,-8.972,-10.315
0.075,1.01,0.049,-9.094,-8.179,-8.606
0.086,0.999,0.046,-8.545,-8.728,-7.507
0.103,1.019,0.051,-6.409,-10.315,-7.69
0.12,1.013,0.061,-4.395,-10.376,-8.667
0.11,1.002,0.021,-5.249,-12.329,-12.268
0.102,1.013,0.037,-4.517,-12.146,-11.719
0.094,1.014,0.061,-3.906,-11.23,-12.329
0.086,1.002,0.058,-3.967,-12.512,-12.207
0.092,1.019,0.047,-2.625,-10.742,-13.306
0.097,1.001,0.025,-3.235,-9.338,-14.648
0.065,1.008,0.022,-2.258,-6.958,-17.395

-0.065,1.011,0.068,-14.771,-3.662,-14.282
-0.083,1.01,0.088,-13.916,-1.831,-11.963
-0.072,0.997,0.056,-12.573,-4.883,-12.146
-0.064,1.005,0.048,-11.78,-4.089,-12.085
-0.072,0.984,0.047,-10.925,-7.996,-13.733
-0.088,0.989,0.022,-10.62,-10.01,-12.451
-0.09,0.973,0.019,-13.977,-7.202,-13.245
-0.115,0.963,0.054,-14.343,-4.944,-13.062
-0.098,0.974,0.031,-15.625,-2.136,-12.634
-0.1,0.997,0.035,-15.076,1.77,-11.963
-0.101,0.982,0.025,-15.137,-5.066,-8.545
-0.097,0.976,0.025,-15.503,-6.958,-8.545
-0.069,0.949,0.055,-15.442,-10.376,-0.977
-0.122,0.966,0.025,-17.09,-7.324,-10.62
-0.104,1.001,0.065,-18.555,-4.15,-8.057
-0.113,0.966,0.051,-17.395,-5.981,-8.423
-0.108,0.963,0.041,-17.273,-3.723,-4.883
-0.094,0.983,0.014,-20.142,-1.282,-5.859
-0.1,0.986,0.026,-22.522,-3.662,-5.737
-0.113,0.987,0.038,-22.4,-5.371,-7.08
-0.119,0.969,0.079,-21.118,-3.906,-5.981
-0.104,1.009,0.076,-20.691,-2.075,-3.845
-0.093,1.009,0.07,-20.691,0.549,-5.798
-0.098,1.018,0.081,-20.081,-0.732,-7.324
-0.083,0.984,0.081,-19.775,-4.333,-4.883
-0.07,1.004,0.088,-20.752,-5.371,-4.822
-0.079,1.019,0.116,-19.714,-5.31,-6.592
-0.102,1.034,0.136,-16.602,-2.93,-9.399
-0.093,1.015,0.129,-12.756,-5.92,-7.996
-0.091,0.993,0.078,-10.559,-8.667,-7.141

-0.024,0.971,-0.042,-15.625,-9.46,-1.709
-0.018,0.991,-0.035,-18.25,-4.395,0.549
-0.017,0.992,-0.03,-18.921,-1.709,1.282
-0.001,1.025,-0.032,-17.7,1.709,2.38
0.061,1.01,-0.025,-15.625,-1.648,1.343
0.025,0.984,-0.052,-12.878,-7.69,-3.54
0.016,0.987,-0.057,-15.198,-2.747,-3.662
0.009,0.971,-0.045,-17.761,-2.075,-3.113
0.018,0.989,-0.049,-16.907,0.183,-3.052
0.002,0.991,-0.012,-12.756,-2.991,-2.869
0.015,0.938,0.003,-12.268,-2.625,-2.319
-0.022,0.961,-0.018,-11.292,-0.671,0.488
-0.0,0.978,-0.036,-10.315,-0.732,3.54
0.036,0.987,-0.071,-8.728,1.526,4.272
0.057,0.987,-0.04,-9.949,1.404,2.441
0.035,0.995,-0.069,-13.245,0.244,-1.404
0.036,0.983,-0.049,-11.963,-1.465,-1.221
0.021,0.957,-0.051,-12.939,-13.062,-1.892
0.019,0.947,-0.058,-13.55,-9.949,-1.526
0.045,0.958,-0.052,-14.954,-11.841,-0.916
0.02,0.979,-0.048,-15.32,-9.277,-1.343
0.036,0.977,-0.039,-16.907,-3.662,-1.648
0.036,0.981,-0.055,-15.32,4.822,-1.404
0.046,0.996,-0.052,-18.555,11.414,-2.258
0.065,1.012,-0.012,-18.982,8.728,-2.686
0.045,1.015,-0.033,-16.907,-3.174,-4.395
0.048,1.015,-0.021,-16.663,-4.211,-4.089
0.034,1.032,-0.018,-16.052,-2.991,-3.784
0.07,1.027,-0.037,-16.846,-0.366,-2.502
0.079,1.031,-0.036,-19.531,2.686,-4.639

0.166,0.98,0.148,-17.212,-7.385,5.249
0.167,0.992,0.129,-13.855,-4.272,6.226
0.157,0.991,0.131,-11.963,-4.333,6.409
0.158,0.959,0.135,-12.512,-5.554,6.104
0.177,0.977,0.122,-9.338,-2.319,7.141
0.162,0.985,0.094,-13.367,-4.395,5.676
0.183,0.955,0.106,-15.381,-10.559,4.272
0.203,0.962,0.128,-17.944,-11.597,3.357
0.201,0.955,0.153,-16.541,-10.925,2.319
0.159,0.978,0.154,-12.024,-6.042,4.761
0.18,0.967,0.137,-8.362,-2.563,5.859
0.186,0.977,0.098,-7.263,-3.601,5.737
0.186,0.977,0.125,-7.751,-4.028,5.981
0.218,0.968,0.122,-8.545,-7.996,4.333
0.23,0.967,0.102,-10.498,-9.766,0.0
0.198,0.979,0.079,-8.728,-7.141,0.183
0.202,0.985,0.077,-8.728,-2.014,1.587
0.198,0.98,0.096,-7.935,-0.854,2.563
0.212,0.987,0.105,-7.08,0.671,3.174
0.218,0.998,0.076,-7.751,-1.77,1.221
0.19,1.01,0.072,-8.362,-5.981,-1.404
0.176,1.018,0.031,-9.094,-5.127,0.427
0.195,1.005,0.053,-11.353,-7.935,0.122
0.197,1.016,0.079,-10.254,-4.211,0.977
0.178,1.02,0.11,-4.028,2.686,4.272
0.208,1.031,0.054,-4.089,4.639,5.371
0.214,1.02,0.059,-7.996,-3.906,2.319
0.212,1.003,0.065,-10.376,-11.536,-0.305
0.219,0.994,0.067,-8.606,-7.019,-0.366
0.212,1.02,0.058,-5.066,1.709,2.136

0.068,1.028,0.049,-24.109,-8.118,2.197
0.089,0.997,0.057,-26.978,-1.404,7.202
0.063,0.997,0.09,-27.71,2.197,8.301
0.07,0.989,0.096,-27.588,1.282,9.033
0.11,0.977,0.105,-27.649,-2.869,4.7
0.113,0.981,0.126,-24.963,-8.118,1.648
0.11,0.976,0.131,-24.658,-12.878,1.099
0.08,0.98,0.108,-22.583,-7.08,3.54
0.082,0.986,0.102,-25.818,-3.235,7.324
0.117,0.964,0.154,-26.55,-5.249,7.507
0.112,0.965,0.154,-23.56,-1.038,4.028
0.11,0.97,0.156,-21.362,-7.935,3.174
0.123,0.969,0.145,-19.531,-10.559,1.282
0.128,0.979,0.133,-19.836,-12.146,0.916
0.11,1.009,0.101,-21.484,-8.667,2.808
0.114,0.988,0.109,-23.438,-2.93,5.31
0.135,0.978,0.141,-26.001,-0.061,6.042
0.144,0.982,0.157,-24.841,-4.15,3.723
0.136,0.99,0.148,-23.56,-8.667,1.77
0.136,0.975,0.156,-22.4,-10.071,1.099
0.138,0.984,0.154,-21.851,-6.348,3.296
0.127,0.988,0.138,-22.217,0.122,4.822
0.136,0.98,0.148,-24.109,0.122,4.578
0.13,0.997,0.181,-24.109,-5.249,3.906
0.136,1.001,0.197,-23.254,-5.432,3.845
0.162,0.977,0.217,-20.569,-7.69,3.967
0.219,0.986,0.183,-18.616,-6.958,2.319
0.18,1.007,0.153,-19.47,-2.502,-0.977
0.176,1.003,0.181,-21.851,0.305,0.488
0.161,1.032,0.197,-21.729,4.15,-0.122
