aX,aY,aZ,gX,gY,gZ
0.814,0.957,-0.884,102.600,-58.228,7.935
0.814,0.946,-0.957,93.323,-64.453,-0.244
0.790,0.939,-0.946,82.458,-70.618,-8.484
0.703,0.906,-0.876,60.364,-74.768,-27.161
0.628,0.851,-0.770,50.354,-79.285,-33.508
0.309,0.729,-0.529,42.664,-78.796,-47.363
0.305,0.517,-0.500,50.842,-84.778,-41.565
0.113,0.673,-0.392,58.777,-77.881,-49.927
0.050,0.697,-0.454,68.604,-76.721,-43.213
0.257,0.782,-0.697,73.059,-54.138,-31.433
0.353,0.874,-0.836,72.632,-45.837,-26.794
0.443,0.867,-0.842,62.378,-41.138,-28.137
0.435,0.882,-0.789,61.157,-35.950,-30.151
0.393,0.933,-0.916,60.120,-25.940,-29.358
0.474,0.939,-1.036,48.584,-23.682,-24.902
0.506,0.893,-0.940,39.917,-29.907,-24.475
0.414,0.843,-0.831,38.879,-19.714,-25.940
0.420,0.849,-0.805,40.100,-13.489,-28.564
0.385,0.858,-0.753,40.588,-14.526,-30.762
0.385,0.891,-0.725,37.476,-10.498,-30.029
0.562,0.881,-0.642,31.677,-0.305,-24.841
0.637,0.877,-0.630,31.433,3.662,-24.048
0.604,0.935,-0.668,29.968,14.893,-23.376
0.861,1.028,-0.806,19.165,38.391,-12.634
1.017,1.035,-0.803,11.902,40.039,-13.123
1.017,0.994,-0.664,4.456,46.021,-26.794
1.043,1.030,-0.655,5.310,46.814,-38.330
1.085,0.996,-0.620,11.169,32.227,-64.087
0.997,1.001,-0.677,18.066,29.480,-79.407
0.866,1.033,-0.858,21.423,23.682,-95.398
0.832,0.999,-0.814,10.437,-0.793,-110.474
0.668,0.950,-0.795,8.789,-3.540,-122.437
0.438,1.064,-0.997,4.028,17.639,-129.211
0.405,1.079,-1.008,-2.808,19.043,-127.625
0.340,1.095,-0.982,-19.043,26.550,-124.084
0.383,1.105,-0.968,-25.696,35.767,-122.009
0.338,1.112,-0.962,-37.109,37.903,-124.451
-0.136,0.769,-1.020,-20.935,38.879,-161.255
0.075,1.070,-0.893,-40.527,28.809,-149.292
-0.085,1.023,-0.930,-38.025,33.325,-151.855
-0.101,0.979,-0.864,-52.124,13.184,-152.588
-0.010,1.002,-0.723,-55.603,10.315,-149.536
-0.060,1.015,-0.815,-61.523,21.484,-145.081
-0.055,1.056,-0.919,-69.702,17.700,-143.555
-0.005,1.026,-0.756,-87.708,12.573,-134.521
-0.109,1.040,-0.814,-97.900,15.930,-132.568
-0.296,0.992,-0.887,-110.291,5.127,-135.925
-0.347,0.942,-0.730,-120.483,-6.958,-140.747
-0.353,0.838,-0.512,-110.352,-3.967,-139.160
-0.454,0.874,-0.471,-103.882,9.888,-140.320
-0.470,0.875,-0.515,-105.652,20.142,-141.968
-0.421,0.879,-0.417,-106.812,20.752,-136.292
-0.581,0.878,-0.279,-99.243,61.218,-116.760
-0.561,0.920,-0.373,-90.210,81.543,-104.614
-0.583,1.007,-0.460,-86.609,84.717,-93.750
-0.545,1.010,-0.549,-87.341,75.500,-88.562
-0.462,1.053,-0.677,-96.924,52.124,-89.539
-0.520,1.032,-0.619,-102.600,35.889,-88.074
-0.537,0.974,-0.516,-114.441,9.033,-80.933
-0.542,0.940,-0.462,-117.065,-4.272,-75.500
-0.702,0.817,-0.253,-117.065,0.183,-65.857
-0.746,0.862,-0.229,-113.525,20.813,-62.378
-0.702,0.876,-0.291,-108.765,70.801,-40.710
-0.634,0.876,-0.314,-105.591,87.219,-26.855
-0.647,0.928,-0.318,-100.037,103.394,-22.705
-0.727,0.912,-0.343,-95.032,96.313,-27.527
-0.720,0.982,-0.284,-89.539,74.829,-36.621
-0.747,1.022,-0.334,-87.219,63.171,-40.588
-0.667,1.000,-0.349,-93.445,27.527,-50.903
-0.661,0.994,-0.348,-95.337,9.277,-55.115
-0.659,1.048,-0.513,-100.708,-7.935,-55.969
-0.658,1.035,-0.510,-105.103,-9.705,-52.124
-0.882,0.959,-0.375,-110.229,11.902,-37.170
-0.949,0.960,-0.362,-108.643,35.217,-26.428
-0.995,0.983,-0.336,-102.844,54.932,-10.498
-0.964,0.953,-0.256,-101.746,51.636,-6.714
-0.944,0.883,-0.066,-93.201,40.344,-5.554
-0.951,0.875,0.009,-86.670,34.912,-5.371
-0.922,0.881,0.076,-73.914,24.231,2.075
-0.869,0.902,0.040,-67.871,23.315,7.629
-0.810,0.913,-0.022,-63.782,19.409,11.963
-0.830,0.979,-0.253,-60.059,21.301,18.738
-0.829,1.028,-0.423,-62.561,27.466,19.958
-0.704,0.958,-0.376,-78.186,18.616,20.386
-0.719,0.942,-0.281,-81.665,18.921,20.508
-0.742,0.913,-0.158,-82.764,27.466,21.606
-0.773,0.890,-0.127,-80.078,30.151,22.278
-0.779,0.909,-0.095,-75.012,23.315,21.729
-0.743,0.900,-0.074,-72.815,20.203,23.254
-0.718,0.857,-0.015,-70.251,16.663,21.851
-0.701,0.827,0.071,-55.298,15.930,21.667
-0.724,0.866,-0.023,-48.706,17.822,20.508
-0.677,0.903,-0.189,-46.082,15.259,20.508
-0.632,0.931,-0.240,-50.537,11.902,22.400
-0.569,0.872,-0.201,-59.937,0.244,24.597
-0.541,0.872,-0.213,-62.439,3.479,26.978
-0.487,0.882,-0.230,-59.631,10.071,27.283
-0.500,0.873,-0.209,-60.547,5.676,25.269
-0.496,0.848,-0.169,-62.439,-0.122,22.827
-0.519,0.818,-0.054,-61.035,-13.489,20.020
-0.552,0.798,0.001,-59.204,-21.057,19.165
-0.602,0.751,0.039,-51.392,-36.987,19.287
-0.594,0.739,0.011,-47.546,-40.955,18.982
-0.562,0.748,-0.105,-45.471,-50.415,18.005
-0.527,0.763,-0.132,-44.556,-52.979,19.775
-0.484,0.744,-0.110,-43.945,-52.551,24.902
-0.491,0.734,-0.105,-41.748,-48.584,28.259
-0.455,0.729,-0.087,-40.894,-48.889,34.241
-0.463,0.718,-0.077,-38.635,-53.345,35.645
-0.487,0.681,-0.045,-37.354,-63.293,37.415
-0.500,0.672,-0.023,-38.147,-68.237,37.781
-0.513,0.650,-0.017,-34.912,-74.036,39.368
-0.516,0.622,-0.021,-32.776,-77.026,41.016
-0.497,0.602,-0.070,-30.334,-79.712,44.312
-0.485,0.584,-0.081,-30.945,-81.604,45.959
-0.393,0.560,-0.091,-29.480,-88.135,48.645
-0.337,0.561,-0.089,-26.611,-87.646,50.232
-0.247,0.607,-0.082,-21.545,-82.642,50.415
-0.268,0.642,-0.107,-18.616,-77.576,50.415

1.029,0.831,-0.714,84.167,-31.433,18.127
1.088,0.874,-0.817,80.627,-16.968,18.555
1.112,0.935,-0.888,76.965,7.141,19.653
1.238,1.002,-0.878,66.772,38.940,15.625
1.280,0.984,-0.778,62.988,28.076,-0.061
1.118,1.047,-0.762,68.115,10.315,-41.321
1.029,1.090,-0.747,67.078,9.949,-53.650
0.946,1.078,-0.743,64.819,8.972,-63.171
0.839,1.064,-0.837,63.110,8.484,-81.421
0.758,1.025,-0.827,61.951,12.146,-92.102
0.512,1.074,-0.886,63.599,31.982,-107.178
0.406,1.018,-0.892,58.411,44.128,-102.783
0.145,1.013,-0.878,48.889,67.444,-100.403
0.038,1.052,-0.885,43.945,75.256,-95.337
-0.031,1.055,-0.905,34.485,81.360,-86.060
0.071,0.958,-0.675,19.104,79.163,-79.346
0.049,0.994,-0.637,16.907,74.951,-81.116
0.011,1.074,-0.684,20.935,61.951,-87.769
0.004,1.100,-0.683,17.700,47.058,-89.478
0.125,1.124,-0.593,16.052,30.090,-89.783
0.145,1.175,-0.643,13.123,36.133,-86.975
0.166,1.241,-0.716,11.963,44.556,-82.214
0.020,1.105,-0.811,4.578,43.945,-82.825
0.042,1.260,-0.708,-3.357,46.326,-88.562
0.097,1.272,-0.656,-13.550,67.078,-72.449
0.104,1.238,-0.537,-17.944,79.468,-68.542
0.081,1.236,-0.509,-13.733,83.923,-70.190
0.106,1.226,-0.491,-12.817,81.726,-73.242
0.054,1.260,-0.557,-13.367,69.519,-85.693
0.049,1.267,-0.573,-16.907,65.735,-89.539
0.043,1.285,-0.558,-20.142,61.523,-92.896
0.110,1.302,-0.522,-24.963,52.124,-95.398
0.199,1.301,-0.527,-28.015,49.988,-98.755
0.292,1.296,-0.572,-36.194,31.250,-114.868
0.279,1.249,-0.560,-37.781,20.203,-127.563
0.112,1.173,-0.519,-42.297,8.545,-152.649
-0.068,1.209,-0.563,-44.067,12.573,-157.227
-0.253,1.217,-0.547,-57.861,32.471,-147.217
-0.264,1.242,-0.534,-59.998,40.405,-135.437
-0.265,1.204,-0.475,-72.754,58.044,-113.403
-0.210,1.176,-0.446,-73.730,68.481,-101.685
-0.175,1.139,-0.433,-75.745,69.824,-98.022
-0.173,1.114,-0.462,-77.087,65.979,-99.304
-0.114,1.016,-0.475,-81.970,60.364,-104.736
-0.192,1.014,-0.393,-85.083,59.387,-109.619
-0.301,0.927,-0.299,-89.722,54.016,-114.075
-0.449,0.941,-0.238,-89.783,49.316,-110.962
-0.590,0.942,-0.163,-88.318,68.665,-84.900
-0.582,0.948,-0.147,-86.975,80.383,-67.444
-0.521,0.921,-0.131,-79.285,97.778,-40.588
-0.516,0.976,-0.207,-76.416,106.079,-26.855
-0.343,0.963,-0.247,-72.083,114.014,-12.268
-0.338,0.946,-0.229,-70.923,112.976,-9.521
-0.293,1.012,-0.385,-70.435,122.559,-6.042
-0.161,1.039,-0.467,-74.158,124.756,-4.028
-0.162,0.994,-0.372,-80.750,123.901,-12.695
-0.203,1.041,-0.288,-80.261,122.131,-18.005
-0.255,1.025,-0.154,-72.449,113.281,-28.320
-0.216,1.059,-0.172,-63.843,105.408,-33.264
-0.201,1.013,-0.174,-50.232,75.562,-45.227
-0.250,0.990,-0.154,-41.809,58.960,-53.345
-0.219,0.997,-0.375,-26.306,33.936,-69.458
-0.229,1.011,-0.417,-23.926,20.752,-77.881
-0.299,1.023,-0.515,-25.940,10.986,-86.304
-0.280,1.051,-0.538,-28.931,13.245,-88.562
-0.481,1.031,-0.518,-36.194,37.842,-82.031
-0.604,1.223,-0.734,-36.499,60.974,-74.036
-0.558,1.126,-0.738,-53.040,59.631,-68.604
-0.589,1.132,-0.682,-59.814,53.284,-70.679
-0.581,1.086,-0.570,-69.946,45.227,-72.998
-0.622,1.039,-0.520,-72.815,35.950,-77.087
-0.631,0.975,-0.327,-77.515,18.066,-78.186
-0.704,0.942,-0.220,-77.881,9.521,-77.087
-0.792,0.924,-0.145,-71.472,2.075,-67.383
-0.918,0.927,-0.209,-65.857,4.089,-60.730
-0.911,0.927,-0.340,-64.819,4.211,-54.138
-0.916,0.933,-0.527,-73.608,-2.686,-44.250
-0.944,0.916,-0.581,-79.651,-4.089,-38.147
-0.927,0.863,-0.550,-97.168,5.127,-23.132
-0.921,0.842,-0.427,-102.966,8.911,-16.052
-0.900,0.776,-0.186,-107.056,16.663,-3.479
-0.898,0.777,-0.109,-104.004,18.555,2.747
-0.821,0.733,-0.001,-95.459,10.132,9.460
-0.798,0.726,0.050,-87.219,-0.488,8.728
-0.784,0.729,0.092,-71.167,-19.897,6.165
-0.753,0.722,0.062,-62.073,-25.635,7.324
-0.732,0.755,-0.049,-57.739,-28.137,7.202
-0.641,0.796,-0.261,-57.922,-36.316,9.399
-0.634,0.797,-0.252,-64.453,-40.100,12.085
-0.605,0.790,-0.193,-71.594,-33.936,18.799
-0.595,0.801,-0.178,-74.829,-28.320,22.644
-0.598,0.790,-0.117,-74.402,-23.193,27.283
-0.570,0.802,-0.103,-73.792,-23.560,29.236
-0.533,0.750,-0.081,-72.754,-28.870,30.212
-0.520,0.745,-0.053,-71.228,-35.156,28.809
-0.545,0.746,0.001,-63.110,-36.560,28.137
-0.510,0.736,-0.039,-60.486,-42.908,28.198
-0.459,0.747,-0.023,-56.519,-51.575,28.687
-0.461,0.768,-0.000,-56.519,-54.199,28.198
-0.486,0.784,-0.003,-53.223,-51.575,31.677
-0.476,0.794,-0.046,-51.331,-50.598,34.119
-0.447,0.801,-0.049,-52.490,-48.584,36.804
-0.429,0.761,-0.023,-52.673,-58.105,35.095
