aX,aY,aZ,gX,gY,gZ
-0.888,1.000,-0.627,-3.845,-86.487,65.430
-0.845,1.010,-0.635,-7.690,-94.299,72.754
-0.726,1.034,-0.674,-10.132,-122.070,80.688
-0.679,1.050,-0.688,-11.414,-135.925,77.637
-0.643,1.085,-0.717,-11.841,-166.992,75.439
-0.606,1.091,-0.666,-15.137,-187.561,72.083
-0.527,1.111,-0.658,-12.939,-229.675,68.848
-0.469,1.135,-0.698,-12.695,-237.061,74.097
-0.212,1.221,-0.863,-18.738,-220.032,98.694
-0.021,1.234,-0.959,-27.710,-205.933,112.671
0.348,1.326,-0.967,-55.054,-177.856,129.272
0.510,1.309,-0.854,-68.237,-171.631,129.639
0.682,1.390,-0.637,-84.351,-167.969,118.835
0.743,1.443,-0.610,-85.327,-164.917,113.037
0.858,1.571,-0.691,-91.736,-164.490,100.952
0.975,1.602,-0.771,-95.886,-161.804,99.365
1.226,1.749,-0.975,-114.197,-125.732,104.492
1.335,1.820,-1.051,-126.587,-98.389,108.459
1.723,1.769,-1.025,-160.278,-40.588,113.342
1.866,1.738,-0.913,-178.894,-17.029,104.980
1.830,1.641,-0.778,-198.853,10.864,67.139
1.708,1.551,-0.643,-206.787,16.418,43.884
1.423,1.359,-0.407,-214.111,15.259,3.540
1.247,1.284,-0.323,-213.257,16.479,-12.268
1.080,1.200,-0.262,-206.360,5.371,-37.170
0.895,1.061,-0.073,-199.707,-3.052,-44.800
0.863,0.990,-0.019,-191.589,-12.939,-53.101
0.867,0.861,0.001,-170.105,-38.818,-69.946
0.846,0.800,-0.017,-159.241,-51.208,-79.651
0.793,0.745,-0.073,-140.259,-60.364,-89.661
0.787,0.750,-0.138,-131.042,-56.152,-89.478
0.586,0.763,-0.318,-125.671,-33.142,-84.290
0.427,0.797,-0.361,-129.822,-10.437,-74.158
0.354,0.723,-0.319,-144.714,44.250,-40.161
0.378,0.686,-0.246,-149.475,67.932,-24.902
0.449,0.593,-0.071,-154.663,105.652,-1.892
0.494,0.555,0.007,-152.588,120.056,5.920
0.531,0.522,0.113,-140.076,133.972,8.484
0.555,0.478,0.201,-131.531,138.489,7.812
0.520,0.402,0.291,-111.206,142.334,3.662
0.484,0.378,0.365,-97.595,141.357,0.793
0.463,0.343,0.402,-71.594,134.766,-8.789
0.497,0.325,0.352,-57.800,128.296,-14.038
0.540,0.289,0.337,-44.067,117.920,-22.705
0.419,0.231,0.207,-16.724,100.403,-42.358
0.289,0.232,0.092,-6.165,109.253,-43.518
0.314,0.281,-0.175,-6.653,149.841,-21.912
0.304,0.268,-0.201,-9.949,164.612,-16.724
0.249,0.208,-0.129,-17.151,194.031,-10.193
0.180,0.156,-0.051,-17.700,207.703,-7.690
0.031,0.099,0.077,-11.536,222.595,-2.502
0.001,0.095,0.126,-5.615,224.854,3.418
0.025,0.100,0.146,1.892,225.403,7.141
0.093,0.120,0.167,13.000,203.613,8.118
0.146,0.116,0.214,20.386,190.613,5.737
0.174,0.126,0.202,31.982,182.739,0.183
0.123,0.193,0.074,47.302,173.462,-12.024
0.049,0.210,0.027,49.866,174.072,-14.465
-0.112,0.192,0.022,43.396,175.537,-15.503
-0.172,0.159,0.046,42.419,175.720,-13.306
-0.261,0.131,0.047,46.814,175.598,-8.667
-0.309,0.137,-0.005,51.331,173.523,-5.554
-0.359,0.163,-0.009,54.565,171.509,-0.854
-0.251,0.244,-0.054,63.232,174.927,18.799
-0.156,0.289,-0.111,65.369,174.011,26.428
-0.076,0.388,-0.198,63.293,168.457,34.668
-0.083,0.408,-0.215,62.561,161.560,35.217
-0.111,0.446,-0.156,57.129,147.522,37.354
-0.091,0.469,-0.104,56.824,147.217,41.931
-0.044,0.438,-0.098,60.852,141.479,41.138
-0.012,0.355,-0.011,66.650,127.319,34.424
-0.017,0.325,0.032,90.088,102.539,16.602
-0.252,0.413,-0.185,100.647,91.614,10.193
-0.267,0.448,-0.292,105.652,81.482,10.193
-0.229,0.538,-0.509,110.046,79.346,20.142
-0.230,0.604,-0.597,108.643,87.402,26.978
-0.272,0.645,-0.711,97.229,94.849,37.354
-0.307,0.695,-0.730,90.942,95.886,39.124
-0.476,0.728,-0.617,74.890,90.393,43.152
-0.572,0.708,-0.547,70.435,86.182,47.913
-0.643,0.699,-0.501,67.078,79.468,52.673
-0.628,0.662,-0.412,65.430,50.842,65.002
-0.502,0.627,-0.396,70.679,33.508,71.228
-0.320,0.832,-0.639,84.717,9.644,72.205
-0.250,0.910,-0.718,85.571,-1.587,70.190
-0.035,0.961,-0.757,81.177,-10.132,69.275
0.008,1.041,-0.834,81.116,-2.686,67.444
-0.044,1.117,-0.873,78.308,0.244,61.462
-0.349,1.129,-0.797,64.575,-8.972,48.523
-0.487,1.068,-0.687,59.937,-18.677,46.692
-0.646,0.974,-0.585,67.871,-29.846,50.598
-0.753,0.987,-0.656,75.867,-39.001,52.002
-0.831,0.974,-0.686,81.909,-70.251,57.678
-0.830,0.981,-0.760,84.412,-81.482,65.125
-0.767,1.105,-0.861,84.595,-86.121,95.703
-0.185,1.255,-1.005,80.444,-80.139,111.938
0.027,1.411,-1.055,74.585,-68.970,120.056
0.427,1.608,-1.130,48.035,-63.049,115.784
0.479,1.615,-1.005,33.264,-64.575,104.187
0.408,1.523,-0.743,15.625,-57.800,81.970
0.305,1.512,-0.670,10.742,-59.875,69.336
0.021,1.386,-0.499,8.301,-76.599,48.584
-0.072,1.329,-0.455,10.376,-87.463,42.664
-0.163,1.323,-0.520,18.860,-108.459,32.410
-0.322,1.361,-0.749,18.433,-116.516,30.884
-0.390,1.337,-0.786,14.343,-123.657,32.349
-0.419,1.320,-0.779,5.127,-122.192,47.424
-0.425,1.306,-0.751,2.747,-119.812,58.228
-0.267,1.249,-0.635,-4.578,-123.108,74.036
-0.156,1.275,-0.587,-4.517,-128.357,77.515
0.013,1.235,-0.564,-6.226,-134.338,81.909
0.094,1.248,-0.579,-8.484,-133.484,83.923
0.244,1.199,-0.537,-12.024,-137.329,80.811
0.279,1.167,-0.481,-12.329,-144.775,73.914
0.137,1.156,-0.508,-7.141,-154.358,60.852
0.106,1.140,-0.532,-6.958,-156.433,60.059
0.047,1.121,-0.593,-5.615,-161.438,64.941
0.009,1.111,-0.579,-5.554,-164.917,70.435
0.020,1.175,-0.642,-8.789,-157.654,100.220

0.787,1.254,-0.623,-19.958,-127.014,142.883
1.189,1.313,-0.707,-26.550,-107.300,151.672
1.698,1.339,-0.766,-44.373,-87.646,122.803
1.658,1.320,-0.659,-57.861,-90.332,90.027
1.221,1.219,-0.338,-73.303,-97.107,37.354
0.976,1.196,-0.290,-73.669,-94.238,22.705
0.801,1.153,-0.270,-73.853,-90.515,18.921
0.639,1.073,-0.303,-73.792,-77.148,24.780
0.596,1.060,-0.329,-72.876,-69.336,30.090
0.591,1.012,-0.410,-72.937,-69.214,28.503
0.576,1.023,-0.378,-72.632,-71.655,26.001
0.590,1.027,-0.347,-73.486,-71.594,24.231
0.643,1.051,-0.343,-73.425,-70.251,24.597
0.708,1.121,-0.332,-74.158,-63.354,21.423
0.702,1.168,-0.358,-73.669,-60.303,18.372
0.660,1.209,-0.429,-78.247,-57.556,12.085
0.661,1.236,-0.472,-80.811,-55.664,11.108
0.682,1.241,-0.495,-83.862,-54.016,7.690
0.630,1.235,-0.603,-87.830,-47.180,4.395
0.565,1.249,-0.642,-93.201,-44.617,0.977
0.450,1.234,-0.657,-105.103,-32.410,0.854
0.383,1.226,-0.623,-112.854,-25.146,2.441
0.312,1.208,-0.445,-125.732,-14.771,9.766
0.311,1.207,-0.373,-128.174,-10.742,14.343
0.354,1.226,-0.302,-128.357,-8.240,16.724
