aX,aY,aZ,gX,gY,gZ
-0.798,-0.580,1.200,-118.896,-101.379,-11.353
-0.824,-0.598,1.341,-117.737,-98.206,-3.418
-0.826,-0.647,1.565,-111.938,-98.450,12.451
-0.824,-0.640,1.729,-106.567,-98.694,20.203
-0.858,-0.715,1.874,-88.135,-101.379,33.264
-0.863,-0.758,1.872,-77.026,-102.417,40.588
-0.751,-0.934,1.985,-52.246,-128.540,63.354
-0.607,-0.759,2.184,-50.171,-177.063,54.565
-0.524,-0.715,1.896,-8.789,-157.166,90.881
-0.469,-0.694,1.878,-10.071,-141.357,91.370
-0.333,-0.644,1.884,3.296,-113.098,119.080
-0.239,-0.594,1.866,10.010,-109.985,127.136
0.051,-0.505,1.756,14.343,-86.426,141.052
0.115,-0.485,1.726,9.399,-66.406,140.625
0.260,-0.448,1.709,6.714,-37.292,139.648
0.387,-0.436,1.665,9.949,-31.128,137.939
0.536,-0.413,1.664,11.780,-30.090,134.705
0.606,-0.368,1.616,18.738,-37.842,125.061
0.631,-0.342,1.599,22.156,-43.579,119.995
0.620,-0.244,1.565,26.489,-54.626,112.793
0.544,-0.187,1.569,27.893,-54.077,110.596
0.503,-0.126,1.491,34.546,-46.570,112.122
0.403,-0.117,1.509,34.851,-33.386,112.305
0.323,-0.107,1.481,37.292,-12.146,121.582
0.321,-0.071,1.445,37.231,-5.676,124.084
0.317,-0.074,1.564,41.565,-2.075,123.535
0.359,-0.019,1.540,42.664,-0.244,120.850
0.393,0.001,1.526,44.617,-1.953,118.835
0.476,0.071,1.406,51.025,-1.953,114.807
0.543,0.119,1.376,52.307,-0.366,111.816
0.665,0.213,1.324,52.246,10.071,102.173
0.659,0.224,1.319,47.363,19.714,94.543
0.617,0.226,1.321,44.678,24.841,88.501
0.510,0.217,1.294,43.701,23.804,81.421
0.457,0.225,1.221,41.809,23.132,75.500
0.283,0.174,1.408,38.330,31.189,72.449
0.299,0.155,1.348,48.828,17.944,79.956
0.333,0.161,1.355,48.523,21.606,79.346
0.375,0.055,1.308,56.458,38.940,81.055
