aX,aY,aZ,gX,gY,gZ
0.822,-0.523,1.164,-120.361,-15.015,-128.235
0.778,-0.536,1.253,-121.460,-17.456,-134.033
0.733,-0.535,1.298,-122.925,-30.334,-130.249
0.702,-0.516,1.317,-126.221,-37.903,-121.887
0.682,-0.509,1.361,-138.977,-43.579,-111.267
0.713,-0.547,1.408,-141.968,-40.527,-111.816
0.860,-0.765,1.543,-128.540,-33.691,-131.470
0.862,-0.874,1.657,-114.380,-26.123,-146.973
0.665,-0.972,1.916,-99.365,-1.282,-171.936
0.620,-0.889,2.089,-95.520,4.883,-171.997
0.522,-0.766,2.332,-87.158,21.912,-170.715
0.466,-0.702,2.363,-79.285,28.564,-157.654
0.393,-0.601,2.333,-65.796,26.428,-125.549
0.372,-0.596,2.258,-57.739,18.860,-115.723
0.450,-0.707,1.983,-35.034,0.671,-108.704
0.544,-0.741,1.776,-23.010,-0.549,-103.699
0.756,-0.856,1.463,-9.216,14.160,-98.755
0.770,-0.802,1.364,3.784,22.644,-94.910
0.867,-0.827,1.251,-3.723,-9.766,-110.657
1.034,-0.824,1.111,-4.089,-17.090,-112.427
1.095,-0.770,1.083,-4.333,-24.902,-117.310
1.124,-0.734,1.059,-4.456,-44.250,-135.742
1.112,-0.764,1.038,-3.906,-48.828,-144.653
1.034,-0.788,1.027,-6.958,-56.030,-151.672
0.991,-0.734,1.090,-6.592,-53.162,-150.391
0.749,-0.688,1.193,-0.366,-46.387,-150.696
0.666,-0.647,1.225,3.113,-45.776,-146.790
0.520,-0.562,1.278,13.367,-48.523,-134.277
0.513,-0.522,1.313,20.081,-47.607,-130.981
0.429,-0.477,1.271,40.039,-40.283,-129.150
0.410,-0.461,1.282,50.964,-43.152,-125.122
0.304,-0.468,1.250,67.932,-38.208,-115.723
0.372,-0.510,1.228,75.012,-40.161,-103.577
0.315,-0.572,1.076,88.074,-38.696,-112.122
0.230,-0.589,1.104,91.003,-32.593,-113.953
0.152,-0.498,1.184,100.220,-12.756,-115.417
0.141,-0.446,1.171,107.117,0.183,-114.075
0.083,-0.406,1.241,108.459,33.691,-109.619
0.065,-0.403,1.210,108.459,46.448,-107.788
0.107,-0.262,1.219,101.624,71.472,-93.994
0.090,-0.237,1.246,103.577,84.351,-88.440
0.258,0.142,1.397,108.276,94.177,-80.627
0.207,-0.278,1.017,150.696,95.398,-65.796
0.270,-0.276,1.021,138.123,101.624,-59.387
0.315,-0.178,1.037,121.521,127.502,-75.012
0.313,-0.154,1.033,120.239,138.428,-72.998
0.273,-0.107,1.231,116.150,151.123,-78.064
0.372,-0.210,1.028,128.296,132.446,-67.871
0.423,-0.081,1.010,121.765,108.154,-53.406
0.332,-0.071,0.998,113.159,107.910,-68.909
0.215,-0.092,0.988,112.000,111.877,-75.317
0.286,0.235,1.148,109.985,122.253,-75.073
0.076,-0.119,0.900,118.347,121.765,-59.875
0.062,-0.046,1.054,111.328,131.409,-47.852
0.006,0.006,1.038,110.657,153.259,-50.781
0.035,0.017,1.034,112.061,162.598,-46.570
0.040,-0.012,1.033,113.342,169.739,-43.640
0.116,0.004,0.972,108.337,173.523,-28.564
0.295,0.289,1.050,102.478,179.565,-22.949
0.143,-0.108,0.825,89.722,162.537,-19.409
0.113,0.014,0.876,84.656,157.166,-7.935
0.003,0.019,0.811,73.059,131.042,-12.390
-0.040,0.036,0.859,66.284,120.422,-11.169
-0.214,0.093,0.939,53.101,121.887,-19.287
-0.227,0.049,0.914,55.237,102.539,-14.893
-0.240,0.208,0.983,64.636,99.548,-1.892
-0.341,0.230,1.004,66.101,109.558,1.831
-0.367,0.233,1.011,69.702,114.990,7.812
-0.338,0.251,0.964,78.125,132.690,20.386
-0.353,0.220,0.928,80.078,142.151,22.522
-0.352,0.224,0.878,79.224,156.921,32.471
-0.299,0.206,0.839,78.308,163.208,34.180
-0.319,0.194,0.837,74.890,168.884,33.508
-0.375,0.170,0.844,66.284,169.434,34.668
-0.423,0.176,0.852,61.951,168.030,37.659
-0.475,0.204,0.883,56.641,154.663,51.880
-0.457,0.214,0.859,55.054,142.456,59.692
-0.435,0.221,0.823,54.749,127.869,69.214
-0.410,0.210,0.721,54.016,123.413,72.998
-0.396,0.204,0.664,51.392,120.544,74.097
-0.408,0.174,0.544,43.762,119.202,77.759
-0.378,0.187,0.493,39.063,117.310,78.308
-0.323,0.184,0.477,27.649,119.507,72.937
-0.327,0.165,0.474,20.874,122.314,67.505
-0.355,0.157,0.480,12.756,123.230,64.514
-0.360,0.136,0.443,-5.371,119.385,64.758
-0.378,0.109,0.472,-19.104,115.051,63.599
-0.398,0.120,0.502,-26.367,104.065,70.740
-0.365,0.165,0.501,-24.841,97.107,78.552
-0.393,0.256,0.472,-24.719,88.623,74.951
-0.411,0.187,0.506,-31.921,91.614,72.144
-0.413,0.195,0.482,-30.823,87.646,85.815
-0.403,0.158,0.429,-34.363,85.815,88.501
-0.372,0.120,0.396,-39.368,84.412,91.919
-0.303,0.116,0.367,-51.086,82.214,102.051
-0.245,0.117,0.372,-57.129,80.078,104.736
-0.157,0.155,0.420,-68.542,73.914,99.426
-0.146,0.173,0.448,-73.059,70.496,93.445
-0.176,0.188,0.506,-77.942,57.861,87.646
-0.153,0.240,0.537,-80.200,48.889,87.219
-0.138,0.287,0.575,-80.017,41.626,84.106
-0.198,0.291,0.621,-77.942,32.410,72.266
-0.245,0.271,0.616,-73.547,28.870,70.374
-0.284,0.235,0.642,-75.378,21.362,69.580
-0.296,0.237,0.650,-74.829,20.813,70.557
-0.301,0.219,0.662,-74.524,20.630,71.228
-0.294,0.184,0.684,-74.341,17.639,72.510
-0.271,0.156,0.672,-72.449,14.893,75.684
-0.165,0.163,0.620,-74.768,4.822,92.285
-0.092,0.188,0.611,-77.026,-1.953,97.839
0.034,0.221,0.585,-76.599,-5.554,92.041
0.048,0.217,0.587,-76.904,-8.240,85.571
0.064,0.216,0.605,-77.087,-11.047,79.773
0.028,0.221,0.679,-78.857,-17.273,69.336
-0.019,0.212,0.711,-80.322,-22.461,66.040
-0.092,0.201,0.773,-82.031,-33.142,63.782
-0.100,0.208,0.782,-78.064,-39.001,63.843
-0.097,0.205,0.774,-76.172,-44.434,61.462
-0.078,0.200,0.759,-76.111,-43.091,62.439

0.698,-0.624,1.202,-139.343,-1.526,-105.225
0.672,-0.571,1.353,-146.179,-8.362,-113.342
0.575,-0.445,1.573,-143.860,-24.231,-118.958
0.557,-0.422,1.626,-137.329,-30.701,-122.009
0.445,-0.382,1.703,-122.986,-31.677,-125.061
0.376,-0.418,1.685,-112.793,-29.724,-123.596
0.315,-0.574,1.554,-94.299,-26.611,-120.117
0.290,-0.651,1.474,-88.257,-19.714,-115.906
0.448,-0.762,1.353,-85.632,-2.136,-112.000
0.566,-0.797,1.341,-87.646,7.080,-120.422
0.679,-0.743,1.562,-95.581,33.325,-148.987
0.721,-0.661,1.655,-93.018,37.598,-156.860
0.643,-0.491,1.870,-66.528,55.664,-160.828
0.588,-0.512,1.917,-58.655,27.893,-163.269
0.552,-0.593,1.851,-47.119,-19.470,-153.564
0.508,-0.647,1.799,-36.011,-26.855,-141.846
0.375,-0.726,1.695,-18.921,-47.852,-121.887
0.388,-0.730,1.610,-12.573,-58.777,-117.371
0.396,-0.731,1.502,-8.606,-51.697,-118.469
0.361,-0.738,1.457,-9.216,-41.321,-118.774
0.353,-0.710,1.347,-6.470,-28.748,-103.210
0.384,-0.667,1.316,-4.517,-26.367,-89.172
0.512,-0.577,1.285,-6.470,-24.597,-79.773
0.564,-0.590,1.287,-7.324,-29.846,-85.022
0.586,-0.592,1.252,-5.798,-34.607,-94.299
0.630,-0.601,1.229,-3.418,-46.631,-106.323
