aX,aY,aZ,gX,gY,gZ
-0.409,-0.144,-1.957,-135.742,-87.708,22.522
-0.454,-0.261,-2.041,-149.292,-90.698,28.320
-0.553,-0.522,-2.275,-178.955,-89.355,42.114
-0.588,-0.662,-2.456,-196.228,-92.102,52.307
-0.548,-0.982,-2.850,-239.868,-116.089,82.581
-0.499,-1.218,-3.107,-270.264,-128.357,93.933
-0.306,-1.558,-3.431,-364.441,-153.748,118.103
-0.135,-1.672,-3.361,-428.345,-159.302,121.704
0.059,-2.008,-2.803,-565.674,-150.696,100.769
0.287,-2.364,-1.876,-691.345,-147.766,71.960
0.467,-2.574,-1.340,-747.803,-147.217,51.208
0.663,-3.018,-0.400,-836.975,-137.268,-6.958
0.816,-3.348,0.306,-859.924,-137.451,-35.645
0.906,-3.541,1.668,-887.939,-106.262,-28.015
1.132,-3.494,2.309,-863.770,-107.727,-20.630
1.319,-3.135,3.284,-762.024,-134.399,11.780
1.390,-2.987,3.859,-735.779,-183.716,38.086
1.435,-2.128,4.113,-624.023,-222.778,73.792
1.135,-2.280,3.905,-552.917,-180.725,66.589
0.933,-2.409,3.468,-459.839,-74.402,35.767
0.873,-2.044,3.528,-474.060,3.174,2.625
0.384,-0.854,4.147,-513.489,130.615,-49.744
0.355,-0.354,4.160,-465.271,137.207,-48.523
0.104,0.069,3.708,-348.572,176.331,-48.279
0.183,0.330,3.626,-271.851,77.454,-25.574
0.257,0.277,3.031,-185.730,-81.482,-27.832
0.167,0.359,2.861,-147.705,-100.098,-23.560
0.041,0.389,2.627,-88.745,-122.009,-12.573
-0.086,0.384,2.498,-66.040,-114.624,-15.930
-0.348,0.273,2.186,-34.668,-75.256,-25.208
-0.417,0.219,2.053,-23.926,-46.326,-23.193
-0.431,0.192,1.855,-15.869,-4.028,-16.724
-0.411,0.196,1.812,-7.019,1.953,-6.287
-0.323,0.184,1.707,4.761,-15.869,4.761
-0.132,0.175,1.388,17.578,-28.503,18.799
-0.097,0.189,1.309,20.752,-30.029,21.606
-0.031,0.148,1.109,16.541,-40.344,19.714
-0.035,0.168,1.068,11.719,-40.222,16.052
-0.052,0.176,1.054,-5.005,-37.476,6.042
-0.081,0.196,1.132,-9.644,-28.625,3.052
-0.123,0.203,1.188,-15.381,-21.973,-1.953
-0.142,0.213,1.286,-22.461,-12.573,-9.216
-0.125,0.218,1.307,-24.658,-5.676,-14.404
-0.169,0.227,1.411,-25.024,14.038,-18.127
-0.201,0.240,1.426,-23.254,13.184,-16.846
-0.236,0.236,1.387,-15.381,11.902,-8.423
-0.222,0.237,1.355,-9.033,9.827,-5.127
-0.217,0.224,1.318,-3.723,7.263,-1.099
-0.158,0.223,1.221,2.502,4.944,3.479
-0.116,0.231,1.192,5.188,5.432,5.798
-0.063,0.231,1.143,6.531,5.310,5.920
-0.002,0.221,1.088,8.179,7.874,2.014
0.011,0.212,1.050,8.179,7.263,0.305
0.032,0.205,1.025,8.911,5.432,-1.282
0.065,0.182,0.981,5.188,1.770,-0.427
0.074,0.189,0.976,2.808,0.488,-2.686
0.075,0.188,0.988,0.916,1.038,-4.883
0.070,0.202,0.990,-1.099,4.944,-11.414
0.028,0.201,0.985,-0.732,7.690,-14.404
0.009,0.199,0.977,-1.099,9.277,-14.709
-0.010,0.190,0.961,-1.831,8.667,-12.817
