aX,aY,aZ,gX,gY,gZ
-0.282,1.076,1.198,-29.846,92.896,-2.747
-0.244,1.213,1.215,-27.771,90.637,-12.573
-0.387,1.087,1.290,-20.630,75.684,-23.865
-0.570,1.130,1.391,-10.071,66.040,-28.687
-0.568,1.220,1.260,-3.174,57.800,-28.687
-0.676,1.300,1.249,9.827,46.997,-26.917
-0.674,1.348,1.184,16.663,39.795,-22.461
-0.631,1.429,0.959,28.442,25.452,-13.428
-0.637,1.472,0.826,31.189,15.991,-11.597
-0.632,1.534,0.686,26.123,0.488,-2.075
-0.544,1.644,0.437,19.836,-4.883,0.244
-0.552,1.699,0.315,11.719,-7.996,3.113
-0.576,1.807,0.093,-11.108,-12.756,8.484
-0.576,1.862,0.035,-25.452,-17.212,9.094
-0.585,1.853,-0.047,-54.382,-37.659,11.047
-0.581,1.889,-0.270,-68.298,-51.453,14.038
-0.556,1.863,-0.445,-82.031,-68.420,16.907
-0.484,1.635,-0.851,-109.863,-103.638,26.123
-0.443,1.520,-1.107,-127.930,-118.591,27.466
-0.263,0.971,-1.485,-174.683,-131.653,43.884
-0.071,0.237,-1.708,-240.906,-103.516,56.213
0.067,-0.199,-1.688,-278.442,-78.125,61.157
0.480,-0.994,-1.206,-354.370,-14.954,57.556
0.678,-1.302,-0.841,-382.202,13.306,49.988
0.976,-2.033,-0.119,-392.822,28.259,21.851
1.071,-2.442,0.264,-377.563,22.278,3.906
1.019,-2.898,0.533,-312.866,-12.146,-27.283
0.734,-3.793,0.644,-288.940,-29.175,-33.813
0.499,-3.876,0.823,-282.654,15.991,-34.729
-0.359,-3.478,1.471,-287.292,38.757,-5.127
-0.319,-3.219,2.327,-278.137,141.602,45.654
-0.144,-1.916,3.438,-250.916,146.912,-21.667
-0.003,-1.465,3.581,-127.197,130.859,23.926
0.496,-1.090,3.117,-66.589,76.172,35.339
0.640,-1.007,2.689,-15.137,26.367,36.865
0.686,-0.960,1.673,48.706,-17.822,14.954
0.469,-0.821,1.358,70.740,3.296,-5.432
-0.083,-0.804,0.975,64.575,-62.561,-53.040
-0.309,-0.682,0.948,61.829,-74.768,-51.025
-0.647,-0.493,0.942,55.725,-67.322,-51.453
-0.752,-0.416,0.888,54.749,-60.303,-44.983
-0.764,-0.333,0.710,55.481,-36.743,-24.170
-0.696,-0.276,0.656,52.063,-15.747,-18.372
-0.541,-0.136,0.583,39.368,18.311,-9.338
-0.458,-0.071,0.547,33.447,20.996,-3.296
-0.394,-0.046,0.520,26.672,19.409,-1.404
-0.338,-0.087,0.528,10.925,12.817,-6.409
-0.348,-0.126,0.532,0.732,7.202,-10.132
-0.390,-0.201,0.641,-15.991,-2.502,-15.869
-0.430,-0.219,0.715,-23.926,-1.709,-16.418
-0.470,-0.260,0.890,-32.288,3.052,-12.085
-0.441,-0.244,0.968,-31.921,2.625,-7.996
-0.406,-0.234,1.092,-29.297,-0.916,-3.113
-0.377,-0.195,1.120,-26.672,-3.540,-0.732
-0.343,-0.192,1.091,-18.860,-11.719,5.676
-0.239,-0.190,1.032,-17.517,-14.282,6.653
-0.208,-0.190,1.010,-18.127,-16.418,7.263
-0.191,-0.179,1.026,-17.273,-14.709,5.066
-0.195,-0.195,1.038,-18.921,-13.184,2.991
-0.217,-0.213,1.076,-20.569,-9.827,-0.244
-0.215,-0.212,1.106,-22.095,-7.324,-0.244
-0.209,-0.204,1.141,-21.729,-2.380,-1.282
-0.222,-0.196,1.154,-20.569,-0.977,-0.366
-0.205,-0.177,1.147,-19.836,-3.540,1.465
-0.190,-0.167,1.140,-18.250,-5.432,2.808
-0.176,-0.161,1.125,-16.052,-4.578,3.174
-0.170,-0.167,1.127,-16.113,-3.113,2.686
-0.181,-0.178,1.137,-13.916,-1.709,2.380
-0.193,-0.201,1.135,-12.756,0.000,2.319
-0.195,-0.190,1.154,-12.085,0.854,2.258
-0.175,-0.197,1.147,-7.141,1.770,2.991
-0.166,-0.193,1.137,-4.333,2.075,4.150
-0.136,-0.198,1.113,-4.089,1.465,4.028
-0.109,-0.189,1.045,-2.563,0.854,4.211
-0.095,-0.170,1.026,-1.831,0.977,3.540
-0.108,-0.165,1.007,-2.625,1.953,2.258
-0.111,-0.153,1.000,-4.456,5.859,-0.793
-0.126,-0.153,0.999,-4.272,5.676,-1.648
-0.178,-0.140,1.019,-4.517,6.592,-5.127
-0.209,-0.136,1.036,-4.089,5.493,-5.188
-0.222,-0.143,1.025,-2.136,1.343,-4.761
-0.248,-0.133,1.017,-1.648,-3.845,-2.502
-0.251,-0.125,1.009,0.000,-4.211,-1.038
-0.225,-0.128,0.954,-0.549,-4.150,0.305
-0.206,-0.122,0.937,-2.136,-3.052,0.610
-0.186,-0.117,0.923,-4.578,-0.061,0.122
-0.171,-0.118,0.923,-7.263,0.793,-1.282
-0.170,-0.116,0.938,-8.057,2.563,-2.625
-0.198,-0.127,0.949,-8.972,6.104,-4.822
-0.220,-0.123,0.967,-10.132,6.287,-6.836
-0.269,-0.143,0.983,-10.193,2.319,-5.920
-0.277,-0.141,0.995,-8.057,-1.404,-3.601
-0.274,-0.139,0.996,-7.812,-4.150,-2.319
-0.279,-0.135,0.976,-5.981,-4.028,-1.282
-0.267,-0.126,0.953,-5.066,-4.089,0.854
-0.242,-0.125,0.924,-4.150,-2.441,2.808
-0.225,-0.115,0.915,-6.775,-1.404,2.747
-0.214,-0.114,0.912,-7.446,0.244,2.625
-0.200,-0.120,0.916,-8.484,0.793,1.465
